,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(22.42226), np.float32(22.09668), np.float32(21.697369), np.float32(24.111593), np.float32(24.484558), np.float32(26.401844), np.float32(23.20406), np.float32(24.693886), np.float32(21.766344), np.float32(22.323109), np.float32(22.81585), np.float32(21.621576), np.float32(21.52014), np.float32(21.52014), np.float32(22.70928), np.float32(22.70928)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(27.070152), np.float32(27.10898), np.float32(28.360779), np.float32(26.13645), np.float32(28.014599), np.float32(28.648937), np.float32(28.363068), np.float32(26.65764), np.float32(27.789122), np.float32(26.934904), np.float32(24.779814), np.float32(27.687046), np.float32(27.891115), np.float32(27.891115), np.float32(27.931656), np.float32(27.931656)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(24.40058), np.float32(24.059887), np.float32(24.75641), np.float32(22.571188), np.float32(24.342283), np.float32(23.132776), np.float32(25.127499), np.float32(24.890337), np.float32(25.884039), np.float32(25.390293), np.float32(24.30305), np.float32(26.217585), np.float32(26.285597), np.float32(26.285597), np.float32(23.975744), np.float32(23.975744)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(20.75009), np.float32(20.635967), np.float32(20.86866), np.float32(22.749428), np.float32(22.757215), np.float32(24.914602), np.float32(22.951443), np.float32(25.303963), np.float32(20.66947), np.float32(21.268559), np.float32(21.50235), np.float32(20.552221), np.float32(21.829556), np.float32(21.829554), np.float32(21.387396), np.float32(21.387396)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(15.416407), np.float32(15.544224), np.float32(15.671478), np.float32(16.842476), np.float32(17.017721), np.float32(18.266966), np.float32(16.462635), np.float32(19.257225), np.float32(16.722403), np.float32(16.492054), np.float32(18.143627), np.float32(17.611746), np.float32(18.798607), np.float32(18.798607), np.float32(17.587078), np.float32(17.587078)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(23.589952), np.float32(22.257187), np.float32(22.294514), np.float32(20.43357), np.float32(21.662077), np.float32(23.337547), np.float32(23.187656), np.float32(24.420803), np.float32(23.68576), np.float32(23.646538), np.float32(24.577938), np.float32(23.25994), np.float32(23.064077), np.float32(23.064077), np.float32(23.344864), np.float32(23.344864)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(23.838556), np.float32(23.525393), np.float32(23.822807), np.float32(21.43845), np.float32(23.081179), np.float32(20.956635), np.float32(24.0499), np.float32(22.820822), np.float32(24.951271), np.float32(23.914608), np.float32(22.27895), np.float32(24.641958), np.float32(23.388762), np.float32(23.388762), np.float32(22.605955), np.float32(22.605955)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(26.075787), np.float32(25.82715), np.float32(26.363173), np.float32(26.842018), np.float32(27.934937), np.float32(28.934633), np.float32(27.66274), np.float32(28.293266), np.float32(25.974154), np.float32(26.67014), np.float32(25.328121), np.float32(25.969738), np.float32(26.557947), np.float32(26.557947), np.float32(26.027407), np.float32(26.027407)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(23.954956), np.float32(23.70156), np.float32(24.162987), np.float32(24.40458), np.float32(24.928104), np.float32(28.74934), np.float32(25.517702), np.float32(26.32875), np.float32(23.728249), np.float32(23.579264), np.float32(23.604277), np.float32(23.005363), np.float32(24.118006), np.float32(24.118006), np.float32(26.005735), np.float32(26.005735)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(23.654724), np.float32(23.688272), np.float32(23.057802), np.float32(24.834282), np.float32(26.362923), np.float32(27.226627), np.float32(22.44343), np.float32(22.879444), np.float32(24.067913), np.float32(24.106348), np.float32(25.406147), np.float32(25.434616), np.float32(24.834476), np.float32(24.834476), np.float32(25.596687), np.float32(25.596687)]"
