,x_input
0,"[0.06099999, 0.05599999, 0.051, 0.03899992, 0.04799998, 0.03600001, 0.05299997, 0.05299997, 0.06199992, 0.03600001, 0.05599999, 0.03199995, 0.046, 0.05599999, 0.04899991, 0.04199994]"
1,"[0.05400002, 0.05699992, 0.05199993, 0.03899992, 0.04699993, 0.03499997, 0.05199993, 0.04999995, 0.06199992, 0.03299999, 0.05799997, 0.03100002, 0.04299998, 0.051, 0.04199994, 0.03699994]"
2,"[0.05299997, 0.05400002, 0.05299997, 0.03600001, 0.04499996, 0.02899992, 0.04999995, 0.04699993, 0.05199993, 0.03899992, 0.05699992, 0.028, 0.04299998, 0.04999995, 0.03299999, 0.02999997]"
3,"[0.04999995, 0.04799998, 0.04399991, 0.03399992, 0.04299998, 0.02499998, 0.04399991, 0.046, 0.04799998, 0.04399991, 0.05299997, 0.028, 0.04100001, 0.04899991, 0.03100002, 0.028]"
4,"[0.046, 0.04799998, 0.04699993, 0.03399992, 0.03999996, 0.02499998, 0.04299998, 0.04699993, 0.04299998, 0.04199994, 0.04899991, 0.03899992, 0.04199994, 0.04799998, 0.03799999, 0.03699994]"
5,"[0.03799999, 0.03999996, 0.04199994, 0.03199995, 0.03699994, 0.02499998, 0.04100001, 0.04799998, 0.03600001, 0.04699993, 0.05400002, 0.04499996, 0.04399991, 0.04999995, 0.03899992, 0.03399992]"
6,"[0.05400002, 0.04899991, 0.046, 0.03100002, 0.04199994, 0.02899992, 0.046, 0.04799998, 0.04799998, 0.04100001, 0.04899991, 0.04699993, 0.03999996, 0.046, 0.04399991, 0.03899992]"
7,"[0.01499999, 0.01600003, 0.02399993, 0.01199996, 0.01499999, 0.01499999, 0.028, 0.04999995, 0.02899992, 0.04299998, 0.051, 0.03699994, 0.02999997, 0.02999997, 0.03399992, 0.03699994]"
8,"[0.01300001, 0.01399994, 0.02100003, 0.01199996, 0.01499999, 0.01300001, 0.01499999, 0.03999996, 0.023, 0.03299999, 0.03699994, 0.01999998, 0.01899993, 0.02199996, 0.02699995, 0.028]"
9,"[0.01999998, 0.01999998, 0.02199996, 0.01499999, 0.01699996, 0.01399994, 0.01899993, 0.02100003, 0.01300001, 0.02199996, 0.01800001, 0.00899994, 0.00800002, 0.01099992, 0.02100003, 0.01899993]"
10,"[0.01600003, 0.01600003, 0.01999998, 0.01099992, 0.01300001, 0.01300001, 0.01600003, 0.01899993, 0.01199996, 0.01499999, 0.01499999, 0.01199996, 0.00800002, 0.01300001, 0.01699996, 0.01099992]"
11,"[0.01300001, 0.01399994, 0.01399994, 0.01199996, 0.01300001, 0.00999999, 0.01399994, 0.01699996, 0.01099992, 0.01499999, 0.01499999, 0.01300001, 0.00800002, 0.01199996, 0.01600003, 0.01300001]"
12,"[0.01499999, 0.01300001, 0.01499999, 0.01099992, 0.01099992, 0.01399994, 0.01399994, 0.01499999, 0.01099992, 0.01600003, 0.01600003, 0.01099992, 0.00699997, 0.01300001, 0.02100003, 0.01499999]"
13,"[0.01600003, 0.01699996, 0.01999998, 0.01300001, 0.01499999, 0.01499999, 0.01800001, 0.01800001, 0.01300001, 0.01699996, 0.02100003, 0.01399994, 0.00999999, 0.01699996, 0.02199996, 0.01600003]"
14,"[0.023, 0.02100003, 0.02699995, 0.01899993, 0.01899993, 0.01699996, 0.023, 0.02399993, 0.01800001, 0.02199996, 0.02600002, 0.01899993, 0.00899994, 0.02100003, 0.02600002, 0.01999998]"
15,"[0.02699995, 0.02699995, 0.03399992, 0.02399993, 0.023, 0.02100003, 0.02999997, 0.02699995, 0.02199996, 0.02499998, 0.02899992, 0.01800001, 0.00899994, 0.02100003, 0.028, 0.02899992]"
16,"[0.023, 0.02600002, 0.02999997, 0.02100003, 0.02399993, 0.02100003, 0.02600002, 0.02600002, 0.01999998, 0.02399993, 0.01999998, 0.00999999, 0.00899994, 0.01800001, 0.03100002, 0.02699995]"
17,"[0.01699996, 0.01899993, 0.02199996, 0.01800001, 0.01699996, 0.01999998, 0.01899993, 0.01899993, 0.01300001, 0.02100003, 0.01399994, 0.00800002, 0.00800002, 0.01499999, 0.03600001, 0.03100002]"
18,"[0.01399994, 0.01699996, 0.02100003, 0.01699996, 0.01999998, 0.01600003, 0.01699996, 0.01800001, 0.01399994, 0.01800001, 0.01300001, 0.00800002, 0.00899994, 0.01600003, 0.02699995, 0.01999998]"
19,"[0.01399994, 0.01600003, 0.023, 0.01499999, 0.01499999, 0.01899993, 0.01600003, 0.01800001, 0.01199996, 0.01800001, 0.01600003, 0.00899994, 0.00800002, 0.01600003, 0.02699995, 0.01899993]"
20,"[0.01600003, 0.01699996, 0.02600002, 0.01499999, 0.01699996, 0.01999998, 0.023, 0.02100003, 0.01899993, 0.01800001, 0.01999998, 0.01899993, 0.01399994, 0.01899993, 0.03100002, 0.02600002]"
21,"[0.01999998, 0.023, 0.02100003, 0.01399994, 0.02199996, 0.02100003, 0.02600002, 0.03600001, 0.01999998, 0.01699996, 0.03999996, 0.01699996, 0.01300001, 0.03399992, 0.02600002, 0.01899993]"
22,"[0.023, 0.02999997, 0.02199996, 0.01300001, 0.02899992, 0.01899993, 0.02600002, 0.03100002, 0.01999998, 0.02100003, 0.04499996, 0.01600003, 0.00899994, 0.03699994, 0.028, 0.01800001]"
23,"[0.02600002, 0.03299999, 0.02399993, 0.01499999, 0.02899992, 0.02499998, 0.02600002, 0.03499997, 0.02399993, 0.028, 0.04799998, 0.01899993, 0.03100002, 0.02999997, 0.03799999, 0.02600002]"
24,"[0.03299999, 0.03399992, 0.01800001, 0.02199996, 0.03299999, 0.03699994, 0.03499997, 0.03899992, 0.046, 0.03100002, 0.04899991, 0.023, 0.04100001, 0.03499997, 0.04399991, 0.04299998]"
