,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(17.575788), np.float32(17.579592), np.float32(17.218842), np.float32(20.302193), np.float32(20.013195), np.float32(21.640408), np.float32(19.577366), np.float32(21.616673), np.float32(17.628345), np.float32(18.177807), np.float32(18.787117), np.float32(17.590422), np.float32(18.309807), np.float32(18.309807), np.float32(18.461569), np.float32(18.461569)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(26.25532), np.float32(26.954603), np.float32(27.79569), np.float32(27.730276), np.float32(29.793432), np.float32(31.287582), np.float32(28.395424), np.float32(26.144978), np.float32(27.965145), np.float32(27.791502), np.float32(25.192917), np.float32(27.60584), np.float32(28.085232), np.float32(28.085232), np.float32(28.766651), np.float32(28.766651)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(26.38357), np.float32(26.218714), np.float32(27.092308), np.float32(25.6488), np.float32(27.86812), np.float32(26.858257), np.float32(28.394588), np.float32(26.157467), np.float32(28.979996), np.float32(28.694048), np.float32(26.096308), np.float32(28.446056), np.float32(28.415852), np.float32(28.415852), np.float32(26.346344), np.float32(26.346344)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(17.244392), np.float32(17.350187), np.float32(17.800547), np.float32(19.26744), np.float32(19.391575), np.float32(21.889322), np.float32(20.08723), np.float32(22.64632), np.float32(17.699324), np.float32(18.855177), np.float32(19.237328), np.float32(18.386902), np.float32(20.384758), np.float32(20.384758), np.float32(18.864891), np.float32(18.864891)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(13.893978), np.float32(14.187094), np.float32(13.923996), np.float32(13.819769), np.float32(14.810487), np.float32(14.173608), np.float32(13.836683), np.float32(15.14971), np.float32(14.626895), np.float32(14.036224), np.float32(15.888565), np.float32(16.243961), np.float32(16.8014), np.float32(16.8014), np.float32(14.991096), np.float32(14.991096)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(23.918756), np.float32(22.762486), np.float32(22.220552), np.float32(21.706972), np.float32(23.180708), np.float32(23.582779), np.float32(24.100351), np.float32(23.329258), np.float32(25.381868), np.float32(24.416578), np.float32(25.324919), np.float32(24.169708), np.float32(23.754013), np.float32(23.754013), np.float32(23.597952), np.float32(23.597952)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(27.70649), np.float32(27.267166), np.float32(27.95797), np.float32(26.69348), np.float32(28.332148), np.float32(27.512135), np.float32(30.326204), np.float32(27.501898), np.float32(30.15909), np.float32(29.498547), np.float32(25.904984), np.float32(27.956488), np.float32(27.308388), np.float32(27.308388), np.float32(27.009916), np.float32(27.009916)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(24.014053), np.float32(24.282425), np.float32(24.887215), np.float32(27.326473), np.float32(28.282047), np.float32(30.731712), np.float32(27.028402), np.float32(27.678738), np.float32(25.04176), np.float32(26.477179), np.float32(25.127537), np.float32(25.365255), np.float32(26.739395), np.float32(26.739395), np.float32(25.952068), np.float32(25.952068)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(19.475216), np.float32(19.62261), np.float32(19.69449), np.float32(20.250587), np.float32(21.088615), np.float32(24.256731), np.float32(20.863333), np.float32(21.59405), np.float32(19.889553), np.float32(19.752718), np.float32(20.553955), np.float32(19.879923), np.float32(21.20509), np.float32(21.20509), np.float32(22.185778), np.float32(22.185778)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(17.35564), np.float32(17.8628), np.float32(16.772877), np.float32(19.485132), np.float32(20.715675), np.float32(18.283054), np.float32(16.127735), np.float32(16.053852), np.float32(18.092596), np.float32(17.236773), np.float32(18.74583), np.float32(19.790949), np.float32(18.565271), np.float32(18.565271), np.float32(17.77206), np.float32(17.77206)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(21.236216), np.float32(21.000824), np.float32(20.950033), np.float32(20.88491), np.float32(21.323605), np.float32(22.52823), np.float32(23.278215), np.float32(22.725798), np.float32(22.173544), np.float32(21.358297), np.float32(20.22828), np.float32(20.18487), np.float32(20.231115), np.float32(20.231115), np.float32(21.872412), np.float32(21.872412)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(17.938284), np.float32(18.908379), np.float32(20.672441), np.float32(19.41842), np.float32(20.054468), np.float32(21.534761), np.float32(22.4784), np.float32(23.440454), np.float32(19.378878), np.float32(20.438152), np.float32(17.542698), np.float32(19.853674), np.float32(22.315905), np.float32(22.315905), np.float32(20.000723), np.float32(20.000723)]"
12,"[np.float32(17.699177), np.float32(-4.4179387), np.float32(-54.6607), np.float32(116.34819), np.float32(122.69955), np.float32(-36.820007)]","[np.float32(24.075287), np.float32(24.575098), np.float32(25.68887), np.float32(24.39391), np.float32(26.379625), np.float32(28.113256), np.float32(26.49126), np.float32(25.18236), np.float32(25.913269), np.float32(25.932867), np.float32(23.920204), np.float32(25.896072), np.float32(27.172766), np.float32(27.172766), np.float32(26.54212), np.float32(26.54212)]"
13,"[np.float32(117.15115), np.float32(160.9598), np.float32(63.092472), np.float32(-1.6219363), np.float32(30.921383), np.float32(53.36891)]","[np.float32(14.14864), np.float32(15.171675), np.float32(15.287035), np.float32(14.220903), np.float32(14.712576), np.float32(14.81562), np.float32(15.359678), np.float32(15.089193), np.float32(14.75465), np.float32(13.259979), np.float32(12.564673), np.float32(14.354668), np.float32(14.718157), np.float32(14.718156), np.float32(16.216486), np.float32(16.216486)]"
14,"[np.float32(106.39641), np.float32(-24.296926), np.float32(74.43155), np.float32(85.36729), np.float32(-51.77439), np.float32(58.576042)]","[np.float32(16.576708), np.float32(16.987629), np.float32(17.325645), np.float32(15.359169), np.float32(16.530766), np.float32(14.060898), np.float32(17.897665), np.float32(17.320715), np.float32(18.416275), np.float32(17.359564), np.float32(16.116673), np.float32(18.500946), np.float32(18.417288), np.float32(18.417288), np.float32(16.45179), np.float32(16.45179)]"
15,"[np.float32(-14.963366), np.float32(66.49893), np.float32(-26.41377), np.float32(50.42178), np.float32(229.8362), np.float32(11.710625)]","[np.float32(25.489212), np.float32(26.172964), np.float32(26.91583), np.float32(26.201645), np.float32(28.18395), np.float32(30.633438), np.float32(27.389542), np.float32(25.09354), np.float32(26.957853), np.float32(26.333643), np.float32(24.224304), np.float32(26.184784), np.float32(26.878164), np.float32(26.878164), np.float32(28.6732), np.float32(28.6732)]"
