,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(22.893505), np.float32(22.843088), np.float32(22.145903), np.float32(23.99103), np.float32(25.068872), np.float32(26.930883), np.float32(23.613745), np.float32(25.643778), np.float32(21.841387), np.float32(21.949137), np.float32(22.424187), np.float32(21.74963), np.float32(22.046682), np.float32(22.046682), np.float32(23.08238), np.float32(23.08238)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(27.135162), np.float32(26.10483), np.float32(28.071318), np.float32(24.126757), np.float32(26.330368), np.float32(26.283474), np.float32(27.151419), np.float32(26.789026), np.float32(27.390575), np.float32(25.94753), np.float32(23.36767), np.float32(26.264196), np.float32(26.752607), np.float32(26.752607), np.float32(25.530228), np.float32(25.530228)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(26.495731), np.float32(25.462648), np.float32(26.059597), np.float32(23.47239), np.float32(24.674028), np.float32(25.30296), np.float32(25.902992), np.float32(27.472603), np.float32(27.380867), np.float32(26.884462), np.float32(26.624052), np.float32(26.305986), np.float32(27.371706), np.float32(27.371706), np.float32(25.152294), np.float32(25.152294)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.429897), np.float32(21.658978), np.float32(21.336447), np.float32(23.030323), np.float32(23.770237), np.float32(26.914864), np.float32(23.061905), np.float32(25.661942), np.float32(21.008753), np.float32(21.196777), np.float32(21.671686), np.float32(20.885609), np.float32(22.505157), np.float32(22.505157), np.float32(23.307396), np.float32(23.307396)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.674715), np.float32(15.111765), np.float32(14.803613), np.float32(17.421577), np.float32(16.865303), np.float32(18.394697), np.float32(15.611469), np.float32(18.19575), np.float32(15.988428), np.float32(16.38013), np.float32(16.773552), np.float32(14.516792), np.float32(16.471277), np.float32(16.471277), np.float32(16.251106), np.float32(16.251106)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(24.469425), np.float32(24.083601), np.float32(23.355545), np.float32(22.653835), np.float32(23.127073), np.float32(25.55913), np.float32(22.80202), np.float32(25.40757), np.float32(23.7326), np.float32(23.826048), np.float32(25.390852), np.float32(23.064411), np.float32(23.145813), np.float32(23.145813), np.float32(23.92351), np.float32(23.92351)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(26.287455), np.float32(25.430956), np.float32(25.828396), np.float32(22.50392), np.float32(24.406975), np.float32(23.803587), np.float32(24.736736), np.float32(25.116924), np.float32(26.515657), np.float32(25.462572), np.float32(25.011225), np.float32(26.387548), np.float32(25.74761), np.float32(25.74761), np.float32(24.508665), np.float32(24.508665)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(25.626076), np.float32(24.524658), np.float32(25.56845), np.float32(24.829966), np.float32(25.862148), np.float32(26.64832), np.float32(26.967545), np.float32(29.405401), np.float32(25.627659), np.float32(25.289776), np.float32(22.671787), np.float32(22.879715), np.float32(24.496275), np.float32(24.496275), np.float32(24.655388), np.float32(24.655388)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(23.977936), np.float32(24.167652), np.float32(23.961267), np.float32(25.211615), np.float32(25.821108), np.float32(29.611816), np.float32(24.782995), np.float32(26.386444), np.float32(23.822126), np.float32(23.737808), np.float32(23.886433), np.float32(23.357029), np.float32(24.527206), np.float32(24.527208), np.float32(26.434172), np.float32(26.434172)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(23.568542), np.float32(23.798859), np.float32(23.360813), np.float32(25.537474), np.float32(26.063822), np.float32(24.790928), np.float32(22.454952), np.float32(23.90926), np.float32(24.039171), np.float32(23.675192), np.float32(24.135456), np.float32(24.253963), np.float32(24.258842), np.float32(24.25884), np.float32(22.464403), np.float32(22.464403)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(20.322868), np.float32(20.211845), np.float32(19.980913), np.float32(18.180813), np.float32(19.91286), np.float32(20.927519), np.float32(19.781622), np.float32(19.683653), np.float32(19.858133), np.float32(18.956778), np.float32(18.984587), np.float32(20.078993), np.float32(18.922884), np.float32(18.922884), np.float32(20.281666), np.float32(20.281666)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(17.622543), np.float32(17.556833), np.float32(18.544859), np.float32(17.231949), np.float32(18.692932), np.float32(19.917759), np.float32(20.351828), np.float32(21.712673), np.float32(18.378433), np.float32(17.763983), np.float32(17.53926), np.float32(18.791353), np.float32(20.880842), np.float32(20.880844), np.float32(18.196451), np.float32(18.196451)]"
12,"[np.float32(17.699177), np.float32(-4.4179387), np.float32(-54.6607), np.float32(116.34819), np.float32(122.69955), np.float32(-36.820007)]","[np.float32(25.867964), np.float32(25.204847), np.float32(26.376474), np.float32(24.592096), np.float32(25.743124), np.float32(27.510963), np.float32(26.67787), np.float32(27.523523), np.float32(26.80168), np.float32(26.01069), np.float32(24.338877), np.float32(25.44358), np.float32(27.005426), np.float32(27.005426), np.float32(26.504108), np.float32(26.504108)]"
13,"[np.float32(117.15115), np.float32(160.9598), np.float32(63.092472), np.float32(-1.6219363), np.float32(30.921383), np.float32(53.36891)]","[np.float32(15.009912), np.float32(14.741852), np.float32(16.000084), np.float32(16.885057), np.float32(16.760717), np.float32(17.111803), np.float32(17.289606), np.float32(15.782034), np.float32(17.557718), np.float32(16.656218), np.float32(14.019239), np.float32(15.938536), np.float32(16.121141), np.float32(16.121141), np.float32(17.457476), np.float32(17.457476)]"
14,"[np.float32(106.39641), np.float32(-24.296926), np.float32(74.43155), np.float32(85.36729), np.float32(-51.77439), np.float32(58.576042)]","[np.float32(14.529781), np.float32(14.250385), np.float32(14.568413), np.float32(15.626001), np.float32(15.087664), np.float32(14.778651), np.float32(16.248327), np.float32(16.739761), np.float32(17.712784), np.float32(17.380354), np.float32(16.539196), np.float32(15.993359), np.float32(17.19783), np.float32(17.19783), np.float32(15.726437), np.float32(15.726437)]"
