,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(24.717453), np.float32(25.097229), np.float32(23.691942), np.float32(26.457926), np.float32(27.370241), np.float32(28.994267), np.float32(24.196493), np.float32(26.61964), np.float32(21.951468), np.float32(22.774088), np.float32(24.757462), np.float32(24.18877), np.float32(23.642574), np.float32(23.642574), np.float32(24.324732), np.float32(24.324732)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(28.459982), np.float32(29.096592), np.float32(29.73075), np.float32(26.42916), np.float32(28.524086), np.float32(28.993633), np.float32(27.502638), np.float32(26.52212), np.float32(26.482319), np.float32(25.423801), np.float32(24.727688), np.float32(28.847183), np.float32(28.692211), np.float32(28.692211), np.float32(28.949661), np.float32(28.949661)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(25.514359), np.float32(25.627005), np.float32(25.43), np.float32(23.823065), np.float32(25.105896), np.float32(25.606274), np.float32(23.718405), np.float32(25.28889), np.float32(25.062212), np.float32(24.62173), np.float32(26.09574), np.float32(27.921007), np.float32(28.049747), np.float32(28.049747), np.float32(27.273962), np.float32(27.273962)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(23.798483), np.float32(24.44424), np.float32(23.373817), np.float32(26.337763), np.float32(26.914682), np.float32(30.364159), np.float32(24.582844), np.float32(27.845524), np.float32(21.607708), np.float32(22.421179), np.float32(24.203049), np.float32(23.204802), np.float32(24.344604), np.float32(24.344604), np.float32(25.627264), np.float32(25.627264)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(13.397904), np.float32(14.231737), np.float32(13.596207), np.float32(18.079123), np.float32(17.414862), np.float32(18.663729), np.float32(13.836799), np.float32(17.979675), np.float32(14.815173), np.float32(14.463924), np.float32(17.123724), np.float32(16.130413), np.float32(17.553741), np.float32(17.553743), np.float32(16.623226), np.float32(16.623226)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(23.357798), np.float32(23.041695), np.float32(21.829878), np.float32(22.499615), np.float32(22.740604), np.float32(25.979948), np.float32(20.492231), np.float32(23.528744), np.float32(21.577621), np.float32(21.97039), np.float32(25.415117), np.float32(23.839962), np.float32(23.058498), np.float32(23.058498), np.float32(25.437126), np.float32(25.437126)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(24.606628), np.float32(25.002419), np.float32(24.371347), np.float32(21.9081), np.float32(23.267658), np.float32(22.156082), np.float32(22.335896), np.float32(22.613298), np.float32(23.764261), np.float32(22.696983), np.float32(23.812609), np.float32(26.700045), np.float32(25.28012), np.float32(25.28012), np.float32(24.990845), np.float32(24.990845)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(27.447247), np.float32(27.52243), np.float32(27.414558), np.float32(27.03324), np.float32(28.471447), np.float32(29.379566), np.float32(27.250011), np.float32(29.47148), np.float32(24.738678), np.float32(25.518475), np.float32(24.97319), np.float32(26.275408), np.float32(26.772488), np.float32(26.772488), np.float32(27.166424), np.float32(27.166424)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(25.584898), np.float32(26.716215), np.float32(25.490042), np.float32(27.932388), np.float32(28.44135), np.float32(33.291595), np.float32(25.434132), np.float32(27.063133), np.float32(23.327394), np.float32(23.486694), np.float32(25.473953), np.float32(25.152845), np.float32(25.775997), np.float32(25.775997), np.float32(29.407928), np.float32(29.407928)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(22.331215), np.float32(23.594276), np.float32(22.034075), np.float32(25.933264), np.float32(26.464155), np.float32(25.181684), np.float32(19.838022), np.float32(21.471212), np.float32(22.047144), np.float32(21.959589), np.float32(24.670828), np.float32(25.911165), np.float32(24.954533), np.float32(24.954533), np.float32(23.911013), np.float32(23.911013)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(20.289793), np.float32(20.960705), np.float32(19.943565), np.float32(19.790682), np.float32(20.4813), np.float32(21.1151), np.float32(19.401737), np.float32(20.174246), np.float32(19.054953), np.float32(18.047787), np.float32(19.461962), np.float32(20.683922), np.float32(19.35967), np.float32(19.35967), np.float32(20.82042), np.float32(20.82042)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(18.116905), np.float32(19.868544), np.float32(19.530722), np.float32(20.95282), np.float32(21.665058), np.float32(22.108006), np.float32(21.034967), np.float32(23.538742), np.float32(18.445986), np.float32(17.602175), np.float32(18.247118), np.float32(20.39159), np.float32(22.601576), np.float32(22.601576), np.float32(20.20292), np.float32(20.20292)]"
