,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(23.615408), np.float32(23.772383), np.float32(22.943462), np.float32(25.000721), np.float32(25.921726), np.float32(27.668385), np.float32(24.140865), np.float32(26.280323), np.float32(22.677126), np.float32(22.834919), np.float32(23.298553), np.float32(22.677118), np.float32(22.811407), np.float32(22.811407), np.float32(23.68777), np.float32(23.68777)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(26.856766), np.float32(26.10595), np.float32(27.792173), np.float32(23.899796), np.float32(26.117313), np.float32(26.236717), np.float32(26.595354), np.float32(26.601814), np.float32(27.073208), np.float32(25.705181), np.float32(23.457726), np.float32(26.491735), np.float32(26.751005), np.float32(26.751005), np.float32(25.9341), np.float32(25.9341)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(26.12175), np.float32(25.252033), np.float32(25.775286), np.float32(23.034967), np.float32(24.243092), np.float32(25.176764), np.float32(25.365337), np.float32(27.129482), np.float32(26.88111), np.float32(26.191856), np.float32(26.130604), np.float32(26.121687), np.float32(27.014198), np.float32(27.014198), np.float32(25.557692), np.float32(25.557692)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(22.065514), np.float32(22.542875), np.float32(21.99373), np.float32(24.101343), np.float32(24.682707), np.float32(27.809221), np.float32(23.592907), np.float32(26.525309), np.float32(21.838606), np.float32(22.068066), np.float32(22.515104), np.float32(21.583345), np.float32(23.126808), np.float32(23.126808), np.float32(24.017498), np.float32(24.017498)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(15.375732), np.float32(15.768719), np.float32(15.489073), np.float32(18.068802), np.float32(17.411478), np.float32(19.147978), np.float32(16.410288), np.float32(19.034267), np.float32(16.858782), np.float32(17.156792), np.float32(17.549444), np.float32(15.07608), np.float32(17.123093), np.float32(17.123093), np.float32(16.687542), np.float32(16.687542)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(24.844616), np.float32(24.391907), np.float32(23.731289), np.float32(23.020327), np.float32(23.362278), np.float32(26.274477), np.float32(23.160215), np.float32(26.029581), np.float32(24.185402), np.float32(24.168997), np.float32(25.862122), np.float32(23.720465), np.float32(23.627647), np.float32(23.627647), np.float32(24.90049), np.float32(24.90049)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(25.402655), np.float32(24.9145), np.float32(25.023447), np.float32(22.034056), np.float32(23.68032), np.float32(23.286135), np.float32(23.731195), np.float32(24.215279), np.float32(25.558416), np.float32(24.427288), np.float32(24.410728), np.float32(26.022392), np.float32(25.193083), np.float32(25.193083), np.float32(24.545244), np.float32(24.545244)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(25.441978), np.float32(24.65899), np.float32(25.508411), np.float32(24.60982), np.float32(25.799526), np.float32(26.410109), np.float32(26.477993), np.float32(29.109), np.float32(25.484432), np.float32(25.14163), np.float32(22.770859), np.float32(23.346016), np.float32(24.648863), np.float32(24.648863), np.float32(24.697136), np.float32(24.697136)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(24.678902), np.float32(25.0531), np.float32(24.666649), np.float32(26.16996), np.float32(26.593933), np.float32(30.56359), np.float32(25.300468), np.float32(27.335457), np.float32(24.65317), np.float32(24.575819), np.float32(24.71205), np.float32(23.979507), np.float32(25.029387), np.float32(25.029388), np.float32(27.353346), np.float32(27.353348)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(23.900808), np.float32(23.970345), np.float32(23.613916), np.float32(25.645111), np.float32(26.027578), np.float32(25.119938), np.float32(22.893715), np.float32(24.20555), np.float32(24.70448), np.float32(24.38923), np.float32(25.028164), np.float32(25.207308), np.float32(25.1526), np.float32(25.1526), np.float32(23.24659), np.float32(23.24659)]"
