,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(22.68123), np.float32(22.370798), np.float32(22.218782), np.float32(23.271784), np.float32(24.240757), np.float32(24.938688), np.float32(23.56532), np.float32(24.075932), np.float32(22.337803), np.float32(22.422247), np.float32(22.622953), np.float32(22.381536), np.float32(22.21559), np.float32(22.21559), np.float32(22.53868), np.float32(22.53868)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(25.431429), np.float32(24.646784), np.float32(26.099411), np.float32(23.149035), np.float32(24.472443), np.float32(24.237999), np.float32(25.877161), np.float32(25.292198), np.float32(25.829302), np.float32(24.903376), np.float32(22.988188), np.float32(24.581945), np.float32(25.161911), np.float32(25.161911), np.float32(23.51411), np.float32(23.51411)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(23.303549), np.float32(23.135725), np.float32(23.320808), np.float32(21.98396), np.float32(22.456844), np.float32(22.586), np.float32(22.989822), np.float32(24.229328), np.float32(24.070875), np.float32(24.159819), np.float32(24.047321), np.float32(23.72587), np.float32(24.710697), np.float32(24.710697), np.float32(22.54501), np.float32(22.54501)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.417742), np.float32(21.553967), np.float32(21.675638), np.float32(22.350998), np.float32(22.923037), np.float32(24.490936), np.float32(22.607517), np.float32(23.686296), np.float32(20.940752), np.float32(21.17188), np.float32(21.290504), np.float32(21.167711), np.float32(21.912634), np.float32(21.912634), np.float32(22.006163), np.float32(22.006163)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(15.957178), np.float32(16.676579), np.float32(16.44978), np.float32(18.748697), np.float32(18.382511), np.float32(18.794802), np.float32(16.891624), np.float32(18.55388), np.float32(17.179722), np.float32(17.803408), np.float32(17.64953), np.float32(16.405907), np.float32(17.707865), np.float32(17.707865), np.float32(17.11585), np.float32(17.11585)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(20.205832), np.float32(19.815195), np.float32(20.249908), np.float32(19.326267), np.float32(19.649801), np.float32(21.040737), np.float32(19.254826), np.float32(20.929186), np.float32(19.911062), np.float32(20.442553), np.float32(20.570513), np.float32(19.23575), np.float32(19.581087), np.float32(19.581087), np.float32(19.53708), np.float32(19.53708)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(23.368559), np.float32(23.380676), np.float32(23.24673), np.float32(21.603539), np.float32(22.568895), np.float32(22.08273), np.float32(22.39084), np.float32(22.7001), np.float32(23.82132), np.float32(23.438356), np.float32(23.33951), np.float32(23.765596), np.float32(23.701267), np.float32(23.70127), np.float32(22.649519), np.float32(22.649519)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(24.232958), np.float32(23.329176), np.float32(24.271372), np.float32(23.409569), np.float32(24.05364), np.float32(24.23914), np.float32(25.309195), np.float32(26.651596), np.float32(24.242205), np.float32(24.158083), np.float32(22.113337), np.float32(22.273035), np.float32(23.311563), np.float32(23.311563), np.float32(22.975368), np.float32(22.975368)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(22.892427), np.float32(23.13646), np.float32(23.29026), np.float32(23.917467), np.float32(24.272608), np.float32(26.282166), np.float32(23.879976), np.float32(24.442392), np.float32(22.985554), np.float32(23.031096), np.float32(22.871027), np.float32(22.75248), np.float32(23.549349), np.float32(23.549349), np.float32(23.881613), np.float32(23.881613)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(22.746761), np.float32(22.960804), np.float32(22.658192), np.float32(24.160797), np.float32(24.471327), np.float32(23.167246), np.float32(22.81751), np.float32(23.30352), np.float32(23.65113), np.float32(23.43083), np.float32(23.403038), np.float32(23.216406), np.float32(23.40308), np.float32(23.40308), np.float32(21.526007), np.float32(21.526007)]"
