,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(21.485361), np.float32(21.126877), np.float32(20.84563), np.float32(22.553963), np.float32(22.697897), np.float32(25.913399), np.float32(23.402372), np.float32(24.2982), np.float32(20.928797), np.float32(21.530783), np.float32(22.139376), np.float32(20.163311), np.float32(20.958216), np.float32(20.958216), np.float32(21.978834), np.float32(21.978834)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(24.511919), np.float32(25.240799), np.float32(26.143234), np.float32(25.688143), np.float32(27.364464), np.float32(29.976913), np.float32(26.842424), np.float32(24.64374), np.float32(26.20633), np.float32(25.772333), np.float32(22.541784), np.float32(25.152472), np.float32(25.34051), np.float32(25.34051), np.float32(28.72822), np.float32(28.72822)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(23.471264), np.float32(24.261383), np.float32(24.621561), np.float32(24.196722), np.float32(26.292362), np.float32(24.811388), np.float32(24.98937), np.float32(22.689547), np.float32(26.035095), np.float32(25.63444), np.float32(23.291426), np.float32(26.582394), np.float32(25.933336), np.float32(25.933336), np.float32(25.095285), np.float32(25.095285)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(20.591475), np.float32(20.411238), np.float32(20.473345), np.float32(21.960648), np.float32(22.427328), np.float32(26.265013), np.float32(22.765223), np.float32(24.647549), np.float32(20.278145), np.float32(21.828238), np.float32(22.915934), np.float32(20.944614), np.float32(22.695097), np.float32(22.695097), np.float32(21.947739), np.float32(21.947739)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(12.703507), np.float32(13.30587), np.float32(12.557577), np.float32(14.144455), np.float32(14.713643), np.float32(13.906137), np.float32(12.463743), np.float32(14.586803), np.float32(12.918631), np.float32(12.607737), np.float32(15.230804), np.float32(14.91046), np.float32(15.695471), np.float32(15.695471), np.float32(13.610502), np.float32(13.610502)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(21.425352), np.float32(21.351416), np.float32(20.589308), np.float32(19.4588), np.float32(21.244604), np.float32(20.312746), np.float32(20.757391), np.float32(19.129951), np.float32(22.027367), np.float32(20.855007), np.float32(22.560053), np.float32(22.79984), np.float32(22.120905), np.float32(22.120905), np.float32(20.986385), np.float32(20.986385)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(25.843626), np.float32(26.067556), np.float32(26.817205), np.float32(24.93174), np.float32(26.708092), np.float32(25.242968), np.float32(28.459093), np.float32(25.084637), np.float32(28.492336), np.float32(27.777456), np.float32(23.797617), np.float32(27.141085), np.float32(26.107216), np.float32(26.107216), np.float32(25.941782), np.float32(25.941782)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(26.603657), np.float32(26.733679), np.float32(27.13613), np.float32(28.471024), np.float32(29.710209), np.float32(34.16104), np.float32(29.231197), np.float32(28.515556), np.float32(27.127975), np.float32(28.218252), np.float32(26.732391), np.float32(26.570845), np.float32(27.337229), np.float32(27.337229), np.float32(29.599737), np.float32(29.599737)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(19.179495), np.float32(19.171133), np.float32(19.295292), np.float32(18.982147), np.float32(19.81507), np.float32(23.306395), np.float32(20.287374), np.float32(20.92389), np.float32(18.94667), np.float32(18.954868), np.float32(20.008512), np.float32(19.09895), np.float32(20.444519), np.float32(20.444519), np.float32(21.481115), np.float32(21.481115)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(16.55869), np.float32(17.453007), np.float32(16.165884), np.float32(19.491074), np.float32(20.174953), np.float32(18.901245), np.float32(15.841764), np.float32(15.936768), np.float32(16.947968), np.float32(15.598726), np.float32(16.928034), np.float32(17.51224), np.float32(16.643143), np.float32(16.643143), np.float32(18.084902), np.float32(18.084902)]"
