,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(20.27114), np.float32(20.389614), np.float32(19.925776), np.float32(23.431194), np.float32(23.560207), np.float32(25.073246), np.float32(22.18752), np.float32(23.911762), np.float32(20.798645), np.float32(21.235777), np.float32(21.552681), np.float32(20.382784), np.float32(20.93823), np.float32(20.93823), np.float32(21.24582), np.float32(21.24582)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(28.717299), np.float32(28.85984), np.float32(30.020397), np.float32(28.184586), np.float32(30.678965), np.float32(30.752235), np.float32(30.38577), np.float32(27.407913), np.float32(30.156946), np.float32(29.498009), np.float32(26.503874), np.float32(29.564299), np.float32(29.516127), np.float32(29.516127), np.float32(29.217266), np.float32(29.217268)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(24.877563), np.float32(24.359324), np.float32(25.112005), np.float32(22.821358), np.float32(24.89034), np.float32(22.57477), np.float32(25.831429), np.float32(24.245956), np.float32(26.889523), np.float32(26.278942), np.float32(24.373665), np.float32(26.861052), np.float32(26.328053), np.float32(26.328053), np.float32(23.749352), np.float32(23.749352)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(19.365347), np.float32(19.798521), np.float32(20.032217), np.float32(22.51727), np.float32(22.66654), np.float32(25.040144), np.float32(22.486418), np.float32(24.815338), np.float32(20.376778), np.float32(21.288553), np.float32(21.505878), np.float32(20.718012), np.float32(22.706839), np.float32(22.706839), np.float32(21.301361), np.float32(21.301361)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.776594), np.float32(15.497656), np.float32(15.151327), np.float32(15.922464), np.float32(17.054068), np.float32(16.576788), np.float32(15.176062), np.float32(16.915003), np.float32(16.442871), np.float32(15.943037), np.float32(17.622725), np.float32(17.990204), np.float32(18.776802), np.float32(18.776802), np.float32(16.820395), np.float32(16.820395)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(22.753674), np.float32(21.281816), np.float32(21.088776), np.float32(20.057528), np.float32(21.649307), np.float32(22.058098), np.float32(22.342405), np.float32(22.902523), np.float32(23.958149), np.float32(23.583199), np.float32(24.604275), np.float32(23.575275), np.float32(23.049034), np.float32(23.049034), np.float32(22.545622), np.float32(22.545622)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(25.034193), np.float32(24.226751), np.float32(24.625227), np.float32(22.503593), np.float32(24.020077), np.float32(21.81173), np.float32(26.066511), np.float32(24.07343), np.float32(26.652), np.float32(25.587553), np.float32(23.010132), np.float32(25.137272), np.float32(23.68455), np.float32(23.68455), np.float32(23.395985), np.float32(23.395985)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(26.764778), np.float32(26.735575), np.float32(27.468517), np.float32(28.748549), np.float32(30.044312), np.float32(31.15829), np.float32(29.478497), np.float32(29.304276), np.float32(27.797754), np.float32(28.7144), np.float32(26.792664), np.float32(27.571516), np.float32(28.538227), np.float32(28.538227), np.float32(27.132496), np.float32(27.132496)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(23.465082), np.float32(23.715534), np.float32(23.921947), np.float32(24.668589), np.float32(26.000795), np.float32(29.29537), np.float32(25.114859), np.float32(25.31468), np.float32(24.327473), np.float32(24.260696), np.float32(24.364195), np.float32(24.056885), np.float32(25.319517), np.float32(25.319517), np.float32(26.265596), np.float32(26.265596)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(20.547653), np.float32(20.899569), np.float32(20.04047), np.float32(21.991947), np.float32(23.894358), np.float32(21.237394), np.float32(19.136229), np.float32(18.816906), np.float32(21.71688), np.float32(20.949007), np.float32(21.734425), np.float32(22.903084), np.float32(21.602701), np.float32(21.602701), np.float32(20.577623), np.float32(20.577623)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(20.992825), np.float32(20.7689), np.float32(20.538757), np.float32(20.575336), np.float32(21.243942), np.float32(22.104889), np.float32(22.3356), np.float32(22.174294), np.float32(21.921873), np.float32(20.98471), np.float32(20.21793), np.float32(20.262476), np.float32(19.845797), np.float32(19.845797), np.float32(21.809904), np.float32(21.809904)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(17.477837), np.float32(19.056934), np.float32(19.951178), np.float32(20.134567), np.float32(20.310429), np.float32(20.70776), np.float32(21.973412), np.float32(22.680143), np.float32(19.333742), np.float32(19.325504), np.float32(17.263897), np.float32(19.554935), np.float32(21.673035), np.float32(21.673035), np.float32(19.636257), np.float32(19.636257)]"
