,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(22.667677), np.float32(22.236244), np.float32(21.703308), np.float32(23.621399), np.float32(24.819435), np.float32(26.804771), np.float32(23.635868), np.float32(26.256351), np.float32(21.265448), np.float32(21.716318), np.float32(22.589787), np.float32(21.843498), np.float32(21.913143), np.float32(21.913143), np.float32(22.266615), np.float32(22.266615)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(28.41139), np.float32(26.954102), np.float32(29.875496), np.float32(25.54601), np.float32(27.74863), np.float32(27.515663), np.float32(29.182013), np.float32(29.050468), np.float32(29.644627), np.float32(27.863298), np.float32(24.237143), np.float32(27.634716), np.float32(28.770718), np.float32(28.770718), np.float32(26.229948), np.float32(26.229948)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(27.924341), np.float32(26.455856), np.float32(27.418129), np.float32(24.709227), np.float32(25.974585), np.float32(27.121462), np.float32(27.498951), np.float32(29.715382), np.float32(29.683683), np.float32(29.2938), np.float32(28.71427), np.float32(28.130808), np.float32(29.679153), np.float32(29.679153), np.float32(26.71248), np.float32(26.71248)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.606329), np.float32(21.694855), np.float32(21.606407), np.float32(23.591486), np.float32(24.254), np.float32(27.544294), np.float32(23.699219), np.float32(27.34406), np.float32(21.081308), np.float32(21.818478), np.float32(22.133305), np.float32(21.167412), np.float32(23.103117), np.float32(23.103117), np.float32(23.19383), np.float32(23.19383)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(13.935532), np.float32(14.429894), np.float32(13.932043), np.float32(16.550528), np.float32(16.03289), np.float32(17.850677), np.float32(13.994043), np.float32(16.582579), np.float32(14.418867), np.float32(15.253527), np.float32(16.216059), np.float32(13.2355995), np.float32(15.430918), np.float32(15.430918), np.float32(15.190298), np.float32(15.190298)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(22.84207), np.float32(21.214706), np.float32(21.551416), np.float32(19.543865), np.float32(20.31598), np.float32(23.662157), np.float32(20.521442), np.float32(24.039879), np.float32(21.740034), np.float32(22.259356), np.float32(23.716383), np.float32(20.918617), np.float32(20.895685), np.float32(20.895685), np.float32(21.654194), np.float32(21.654194)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(27.61719), np.float32(26.33916), np.float32(26.943087), np.float32(23.366747), np.float32(25.521742), np.float32(25.282885), np.float32(25.740656), np.float32(26.528645), np.float32(28.400173), np.float32(27.133476), np.float32(26.604591), np.float32(28.00146), np.float32(27.278711), np.float32(27.278711), np.float32(26.123117), np.float32(26.123117)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(26.36865), np.float32(24.761978), np.float32(26.529661), np.float32(26.13648), np.float32(27.07914), np.float32(27.801207), np.float32(28.578842), np.float32(32.275543), np.float32(26.959387), np.float32(27.120779), np.float32(23.346134), np.float32(23.523857), np.float32(25.854378), np.float32(25.854378), np.float32(25.131325), np.float32(25.131325)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(24.329601), np.float32(24.07189), np.float32(24.408888), np.float32(26.247831), np.float32(26.57885), np.float32(31.020618), np.float32(25.668732), np.float32(28.22264), np.float32(24.517689), np.float32(24.858915), np.float32(24.868614), np.float32(24.008652), np.float32(25.678856), np.float32(25.678856), np.float32(26.763401), np.float32(26.763401)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(24.281286), np.float32(24.203487), np.float32(23.88943), np.float32(26.67299), np.float32(27.048796), np.float32(25.620508), np.float32(22.732513), np.float32(24.133842), np.float32(24.867432), np.float32(24.373951), np.float32(24.791203), np.float32(24.70667), np.float32(24.648735), np.float32(24.648735), np.float32(22.820675), np.float32(22.820675)]"
