,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(24.641075), np.float32(24.753057), np.float32(23.578793), np.float32(26.55124), np.float32(27.704672), np.float32(29.616919), np.float32(25.150745), np.float32(29.228579), np.float32(23.49889), np.float32(23.89017), np.float32(24.385191), np.float32(23.113573), np.float32(23.270082), np.float32(23.270082), np.float32(24.791216), np.float32(24.791216)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(28.410294), np.float32(27.526106), np.float32(29.409084), np.float32(25.68503), np.float32(28.564049), np.float32(27.58682), np.float32(28.620453), np.float32(29.461235), np.float32(29.425583), np.float32(27.889803), np.float32(25.070889), np.float32(28.673283), np.float32(29.19935), np.float32(29.19935), np.float32(27.018099), np.float32(27.018099)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(26.723467), np.float32(25.754143), np.float32(26.266819), np.float32(23.283869), np.float32(25.419567), np.float32(24.508083), np.float32(26.128208), np.float32(29.008171), np.float32(28.426113), np.float32(27.576056), np.float32(27.26906), np.float32(27.804506), np.float32(28.900345), np.float32(28.900345), np.float32(25.324097), np.float32(25.324097)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(22.876974), np.float32(23.317413), np.float32(22.520945), np.float32(25.45425), np.float32(26.285015), np.float32(29.719114), np.float32(24.703203), np.float32(29.554771), np.float32(22.545948), np.float32(22.842031), np.float32(23.309141), np.float32(21.733503), np.float32(23.594963), np.float32(23.594963), np.float32(25.08728), np.float32(25.08728)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.10734), np.float32(15.019539), np.float32(13.911307), np.float32(16.681734), np.float32(16.540325), np.float32(17.3889), np.float32(14.191586), np.float32(17.682854), np.float32(15.206522), np.float32(15.124262), np.float32(16.906677), np.float32(14.832035), np.float32(16.180494), np.float32(16.180494), np.float32(15.705038), np.float32(15.705038)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(25.606936), np.float32(25.075857), np.float32(23.842028), np.float32(23.105753), np.float32(24.180742), np.float32(25.889914), np.float32(23.45968), np.float32(27.93576), np.float32(25.20822), np.float32(25.44816), np.float32(27.529673), np.float32(24.873552), np.float32(24.77442), np.float32(24.77442), np.float32(24.945902), np.float32(24.945902)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(26.206177), np.float32(25.599642), np.float32(25.714172), np.float32(22.108932), np.float32(24.499214), np.float32(22.468395), np.float32(24.69514), np.float32(26.07562), np.float32(27.089785), np.float32(25.724573), np.float32(25.223932), np.float32(27.291286), np.float32(26.590887), np.float32(26.590887), np.float32(24.370996), np.float32(24.370996)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(26.618422), np.float32(25.599869), np.float32(26.592058), np.float32(26.920906), np.float32(28.487448), np.float32(28.747717), np.float32(28.38476), np.float32(33.081493), np.float32(27.123129), np.float32(27.193344), np.float32(24.155819), np.float32(24.391361), np.float32(26.37906), np.float32(26.37906), np.float32(25.861782), np.float32(25.861782)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(25.75945), np.float32(26.128857), np.float32(25.281237), np.float32(27.50491), np.float32(28.368269), np.float32(32.406136), np.float32(26.272722), np.float32(29.832125), np.float32(25.803116), np.float32(25.881392), np.float32(26.412601), np.float32(25.240685), np.float32(26.254332), np.float32(26.254332), np.float32(28.794304), np.float32(28.794304)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(23.222254), np.float32(24.096365), np.float32(22.680285), np.float32(25.927938), np.float32(26.990505), np.float32(24.238493), np.float32(21.357304), np.float32(23.350544), np.float32(24.332418), np.float32(24.035982), np.float32(25.268505), np.float32(26.041986), np.float32(25.280182), np.float32(25.280182), np.float32(22.875406), np.float32(22.875406)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(21.422342), np.float32(21.775267), np.float32(20.76027), np.float32(19.26922), np.float32(20.827827), np.float32(21.645926), np.float32(20.244308), np.float32(21.576796), np.float32(20.593245), np.float32(19.577047), np.float32(20.2134), np.float32(21.041279), np.float32(19.565805), np.float32(19.565805), np.float32(21.544024), np.float32(21.544024)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(16.7322), np.float32(17.773844), np.float32(18.128376), np.float32(17.647757), np.float32(19.203568), np.float32(20.098923), np.float32(20.063211), np.float32(22.582914), np.float32(17.470987), np.float32(16.295616), np.float32(16.351559), np.float32(18.187056), np.float32(20.644445), np.float32(20.644445), np.float32(18.071165), np.float32(18.071165)]"
12,"[np.float32(17.699177), np.float32(-4.4179387), np.float32(-54.6607), np.float32(116.34819), np.float32(122.69955), np.float32(-36.820007)]","[np.float32(26.630367), np.float32(26.285278), np.float32(27.15832), np.float32(25.738377), np.float32(27.560625), np.float32(28.714283), np.float32(27.693956), np.float32(30.01443), np.float32(28.258425), np.float32(27.254663), np.float32(25.618515), np.float32(27.088423), np.float32(28.856773), np.float32(28.856773), np.float32(27.812744), np.float32(27.812744)]"
13,"[np.float32(117.15115), np.float32(160.9598), np.float32(63.092472), np.float32(-1.6219363), np.float32(30.921383), np.float32(53.36891)]","[np.float32(14.675194), np.float32(15.446529), np.float32(15.543722), np.float32(16.701849), np.float32(16.556345), np.float32(16.664291), np.float32(16.20018), np.float32(14.23122), np.float32(16.753468), np.float32(14.889322), np.float32(12.863684), np.float32(14.953028), np.float32(14.335171), np.float32(14.335171), np.float32(17.435616), np.float32(17.435616)]"
14,"[np.float32(106.39641), np.float32(-24.296926), np.float32(74.43155), np.float32(85.36729), np.float32(-51.77439), np.float32(58.576042)]","[np.float32(13.681534), np.float32(14.068993), np.float32(13.623493), np.float32(14.442301), np.float32(14.283306), np.float32(12.841148), np.float32(14.735502), np.float32(15.190485), np.float32(16.785686), np.float32(15.481075), np.float32(14.719911), np.float32(14.703647), np.float32(15.274593), np.float32(15.274593), np.float32(14.862561), np.float32(14.862561)]"
15,"[np.float32(-14.963366), np.float32(66.49893), np.float32(-26.41377), np.float32(50.42178), np.float32(229.8362), np.float32(11.710625)]","[np.float32(28.233212), np.float32(27.758617), np.float32(29.166437), np.float32(26.253204), np.float32(28.72418), np.float32(29.092953), np.float32(28.374426), np.float32(28.867937), np.float32(29.313532), np.float32(27.798946), np.float32(25.658981), np.float32(28.953838), np.float32(29.472578), np.float32(29.472578), np.float32(28.61726), np.float32(28.61726)]"
16,"[np.float32(-113.308525), np.float32(40.30288), np.float32(-153.23943), np.float32(-46.53276), np.float32(47.741318), np.float32(83.57548)]","[np.float32(27.536436), np.float32(27.57919), np.float32(26.582127), np.float32(29.605429), np.float32(30.91193), np.float32(32.1425), np.float32(27.006794), np.float32(31.01544), np.float32(27.43735), np.float32(27.91205), np.float32(27.950323), np.float32(26.989914), np.float32(27.065735), np.float32(27.065735), np.float32(27.944109), np.float32(27.944109)]"
17,"[np.float32(-143.84988), np.float32(8.984245), np.float32(-1.9494128), np.float32(121.86669), np.float32(-152.77885), np.float32(50.701828)]","[np.float32(15.684097), np.float32(16.860262), np.float32(16.025711), np.float32(18.490824), np.float32(19.846943), np.float32(16.46238), np.float32(17.448593), np.float32(21.245626), np.float32(16.83272), np.float32(16.377087), np.float32(16.895119), np.float32(17.987053), np.float32(19.1547), np.float32(19.1547), np.float32(14.0903425), np.float32(14.0903425)]"
18,"[np.float32(57.45171), np.float32(-29.746962), np.float32(263.84985), np.float32(-99.319534), np.float32(97.73943), np.float32(-48.281857)]","[np.float32(18.496504), np.float32(19.295204), np.float32(18.789433), np.float32(15.316214), np.float32(16.86468), np.float32(14.62515), np.float32(18.464703), np.float32(16.886078), np.float32(19.382898), np.float32(16.879738), np.float32(14.658869), np.float32(18.268503), np.float32(16.592455), np.float32(16.592455), np.float32(18.46998), np.float32(18.46998)]"
19,"[np.float32(77.63523), np.float32(50.219772), np.float32(59.3194), np.float32(132.07565), np.float32(-125.15561), np.float32(-0.73747826)]","[np.float32(12.841797), np.float32(13.039713), np.float32(13.451845), np.float32(15.490002), np.float32(15.475485), np.float32(14.557551), np.float32(16.536064), np.float32(17.99093), np.float32(16.311228), np.float32(15.296375), np.float32(13.075216), np.float32(13.088681), np.float32(15.096197), np.float32(15.096199), np.float32(14.008703), np.float32(14.008703)]"
