,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(24.252842), np.float32(23.845444), np.float32(23.538073), np.float32(25.566072), np.float32(26.179878), np.float32(28.883348), np.float32(25.262512), np.float32(26.273087), np.float32(23.376673), np.float32(23.75427), np.float32(24.239107), np.float32(22.98659), np.float32(23.069818), np.float32(23.069818), np.float32(24.631329), np.float32(24.63133)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(27.340454), np.float32(27.506521), np.float32(28.851187), np.float32(25.85956), np.float32(28.06169), np.float32(28.700003), np.float32(28.563852), np.float32(26.388042), np.float32(28.00643), np.float32(26.727736), np.float32(24.86799), np.float32(28.383236), np.float32(28.666304), np.float32(28.666304), np.float32(28.413443), np.float32(28.413443)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(24.050642), np.float32(23.934822), np.float32(24.228813), np.float32(22.311623), np.float32(24.218748), np.float32(23.318148), np.float32(24.393427), np.float32(24.284248), np.float32(25.595411), np.float32(24.972292), np.float32(24.872566), np.float32(26.615507), np.float32(26.740091), np.float32(26.740091), np.float32(24.40069), np.float32(24.40069)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(22.23935), np.float32(22.118689), np.float32(22.311333), np.float32(24.3871), np.float32(24.553791), np.float32(27.970139), np.float32(24.594498), np.float32(26.777061), np.float32(21.906857), np.float32(22.438776), np.float32(22.856636), np.float32(21.657335), np.float32(23.233452), np.float32(23.233452), np.float32(23.750357), np.float32(23.750357)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.82053), np.float32(15.253593), np.float32(15.143198), np.float32(16.831846), np.float32(16.881369), np.float32(18.765707), np.float32(15.813034), np.float32(18.52197), np.float32(16.186485), np.float32(15.573914), np.float32(17.74428), np.float32(16.999783), np.float32(18.419823), np.float32(18.419823), np.float32(17.89634), np.float32(17.89634)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(23.463963), np.float32(22.26961), np.float32(21.982466), np.float32(20.456383), np.float32(21.70759), np.float32(24.193192), np.float32(22.741652), np.float32(24.035324), np.float32(23.60151), np.float32(23.4503), np.float32(25.230356), np.float32(23.479275), np.float32(23.345097), np.float32(23.345097), np.float32(24.13804), np.float32(24.13804)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(23.69272), np.float32(23.4072), np.float32(23.470556), np.float32(20.739649), np.float32(22.613062), np.float32(20.323437), np.float32(23.710117), np.float32(22.471848), np.float32(24.958736), np.float32(23.758543), np.float32(22.819294), np.float32(25.09846), np.float32(23.830187), np.float32(23.830187), np.float32(22.37164), np.float32(22.37164)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(26.876446), np.float32(26.690975), np.float32(27.263105), np.float32(27.48971), np.float32(28.843082), np.float32(30.445665), np.float32(28.511992), np.float32(28.91894), np.float32(26.586596), np.float32(27.12486), np.float32(25.932575), np.float32(26.774668), np.float32(27.535097), np.float32(27.535097), np.float32(27.377522), np.float32(27.377522)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(24.441866), np.float32(24.285587), np.float32(24.826466), np.float32(24.661901), np.float32(25.355713), np.float32(29.932241), np.float32(26.08947), np.float32(26.516178), np.float32(24.128275), np.float32(23.601189), np.float32(23.864183), np.float32(23.525492), np.float32(24.844532), np.float32(24.844532), np.float32(27.227875), np.float32(27.227875)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(23.826014), np.float32(24.179976), np.float32(23.425508), np.float32(25.007622), np.float32(26.589956), np.float32(27.567097), np.float32(22.381496), np.float32(22.17279), np.float32(24.125433), np.float32(23.673439), np.float32(25.414728), np.float32(25.689247), np.float32(25.072794), np.float32(25.072794), np.float32(25.971682), np.float32(25.971682)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(20.661688), np.float32(20.32052), np.float32(20.409842), np.float32(18.969578), np.float32(19.7997), np.float32(20.347015), np.float32(21.530828), np.float32(21.224707), np.float32(21.06827), np.float32(19.738482), np.float32(19.389034), np.float32(20.002407), np.float32(19.338655), np.float32(19.338655), np.float32(20.453285), np.float32(20.453285)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(15.612198), np.float32(16.819191), np.float32(17.568237), np.float32(18.725342), np.float32(18.617958), np.float32(17.901297), np.float32(19.784826), np.float32(21.48704), np.float32(17.526436), np.float32(16.690117), np.float32(15.726208), np.float32(17.917599), np.float32(19.931383), np.float32(19.931383), np.float32(16.683409), np.float32(16.683409)]"
12,"[np.float32(17.699177), np.float32(-4.4179387), np.float32(-54.6607), np.float32(116.34819), np.float32(122.69955), np.float32(-36.820007)]","[np.float32(24.651127), np.float32(24.990755), np.float32(26.032503), np.float32(24.385096), np.float32(25.790648), np.float32(27.424082), np.float32(26.638401), np.float32(26.13977), np.float32(25.656313), np.float32(24.702076), np.float32(23.61082), np.float32(25.789177), np.float32(27.131378), np.float32(27.131378), np.float32(26.789188), np.float32(26.789188)]"
13,"[np.float32(117.15115), np.float32(160.9598), np.float32(63.092472), np.float32(-1.6219363), np.float32(30.921383), np.float32(53.36891)]","[np.float32(14.340403), np.float32(15.402607), np.float32(15.8909), np.float32(15.758347), np.float32(15.806541), np.float32(15.8068695), np.float32(16.485277), np.float32(16.052162), np.float32(16.152962), np.float32(13.571932), np.float32(12.921579), np.float32(15.086746), np.float32(15.534546), np.float32(15.534546), np.float32(16.49441), np.float32(16.49441)]"
