,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(23.085842), np.float32(22.945274), np.float32(23.038439), np.float32(25.273119), np.float32(25.743647), np.float32(27.120476), np.float32(26.24626), np.float32(26.705442), np.float32(24.085377), np.float32(25.476166), np.float32(24.903831), np.float32(23.919865), np.float32(25.00319), np.float32(25.00319), np.float32(23.357586), np.float32(23.357586)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(22.68554), np.float32(22.63838), np.float32(22.871157), np.float32(23.539534), np.float32(24.624146), np.float32(26.152313), np.float32(23.9879), np.float32(21.925636), np.float32(23.768665), np.float32(21.69854), np.float32(20.037527), np.float32(20.870577), np.float32(20.57013), np.float32(20.57013), np.float32(25.00531), np.float32(25.00531)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(22.658258), np.float32(22.951202), np.float32(23.426365), np.float32(22.617384), np.float32(24.163073), np.float32(24.61714), np.float32(24.407288), np.float32(22.02023), np.float32(24.799686), np.float32(23.058592), np.float32(21.253067), np.float32(23.196785), np.float32(23.01591), np.float32(23.01591), np.float32(25.260977), np.float32(25.260977)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.814875), np.float32(22.18056), np.float32(22.820044), np.float32(24.785118), np.float32(25.593103), np.float32(28.548286), np.float32(24.871098), np.float32(26.08287), np.float32(22.458931), np.float32(24.822433), np.float32(24.271124), np.float32(24.053696), np.float32(25.864792), np.float32(25.864792), np.float32(24.43611), np.float32(24.43611)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(12.952765), np.float32(13.719971), np.float32(12.657337), np.float32(14.869696), np.float32(15.852068), np.float32(15.022928), np.float32(11.834358), np.float32(13.791272), np.float32(12.5060005), np.float32(12.424564), np.float32(15.444071), np.float32(15.320387), np.float32(15.893938), np.float32(15.893938), np.float32(14.591877), np.float32(14.591877)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(21.711134), np.float32(21.898525), np.float32(21.572634), np.float32(20.845451), np.float32(22.842112), np.float32(21.24912), np.float32(21.876652), np.float32(19.871353), np.float32(23.384186), np.float32(22.099325), np.float32(23.201868), np.float32(24.30176), np.float32(24.065948), np.float32(24.065948), np.float32(22.21589), np.float32(22.215889)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(25.448185), np.float32(25.166433), np.float32(26.302414), np.float32(23.486132), np.float32(24.89451), np.float32(24.387653), np.float32(29.102262), np.float32(25.672033), np.float32(28.66469), np.float32(26.864544), np.float32(22.922724), np.float32(25.250065), np.float32(24.937597), np.float32(24.937597), np.float32(25.826199), np.float32(25.826199)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(27.249216), np.float32(27.155815), np.float32(27.80193), np.float32(30.078154), np.float32(30.86157), np.float32(34.49238), np.float32(30.911604), np.float32(29.720037), np.float32(28.694408), np.float32(29.344309), np.float32(27.193897), np.float32(26.876518), np.float32(27.753363), np.float32(27.753363), np.float32(29.903862), np.float32(29.903862)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(18.768871), np.float32(19.057112), np.float32(18.98957), np.float32(19.966198), np.float32(21.258156), np.float32(22.07389), np.float32(19.115612), np.float32(19.35226), np.float32(18.87139), np.float32(18.884487), np.float32(19.85888), np.float32(20.103024), np.float32(20.777884), np.float32(20.777884), np.float32(20.5004), np.float32(20.5004)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(16.892174), np.float32(17.05299), np.float32(14.999887), np.float32(19.373938), np.float32(19.762562), np.float32(18.314293), np.float32(15.829899), np.float32(16.288383), np.float32(16.845173), np.float32(15.060886), np.float32(18.011303), np.float32(16.354841), np.float32(15.744329), np.float32(15.744329), np.float32(16.863964), np.float32(16.863964)]"
