,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(25.750803), np.float32(25.850407), np.float32(24.87399), np.float32(26.527172), np.float32(27.73149), np.float32(29.732336), np.float32(25.811625), np.float32(28.740252), np.float32(23.921062), np.float32(24.003775), np.float32(24.095879), np.float32(23.208254), np.float32(23.351572), np.float32(23.351572), np.float32(25.41176), np.float32(25.41176)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(28.528137), np.float32(27.510168), np.float32(29.627789), np.float32(24.541027), np.float32(27.19584), np.float32(26.830832), np.float32(27.956743), np.float32(28.0734), np.float32(28.17883), np.float32(26.573864), np.float32(23.889835), np.float32(27.619081), np.float32(27.932205), np.float32(27.932205), np.float32(26.52289), np.float32(26.52289)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(26.597937), np.float32(25.623034), np.float32(26.307314), np.float32(22.65643), np.float32(24.428661), np.float32(24.473316), np.float32(25.423876), np.float32(27.752762), np.float32(27.063305), np.float32(26.322086), np.float32(26.114344), np.float32(26.823183), np.float32(27.839783), np.float32(27.839783), np.float32(25.325348), np.float32(25.325348)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(23.75023), np.float32(24.240587), np.float32(23.41159), np.float32(25.60465), np.float32(26.312738), np.float32(29.808458), np.float32(25.05199), np.float32(29.035036), np.float32(22.808228), np.float32(22.946615), np.float32(23.170527), np.float32(21.761421), np.float32(23.487896), np.float32(23.487894), np.float32(25.623642), np.float32(25.623642)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.733185), np.float32(15.187897), np.float32(14.510605), np.float32(16.898031), np.float32(16.68447), np.float32(17.900991), np.float32(14.823771), np.float32(18.299473), np.float32(15.583874), np.float32(15.545059), np.float32(16.991886), np.float32(14.659947), np.float32(16.271585), np.float32(16.271585), np.float32(15.689028), np.float32(15.689028)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(25.551521), np.float32(25.212967), np.float32(24.177242), np.float32(22.671831), np.float32(23.637934), np.float32(25.851547), np.float32(22.990963), np.float32(26.58605), np.float32(24.173292), np.float32(24.246994), np.float32(26.225975), np.float32(24.110052), np.float32(24.003239), np.float32(24.003239), np.float32(24.877106), np.float32(24.877106)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(25.883636), np.float32(25.383818), np.float32(25.656233), np.float32(21.53552), np.float32(23.639902), np.float32(22.526875), np.float32(23.993448), np.float32(24.59726), np.float32(25.826462), np.float32(24.47501), np.float32(23.991405), np.float32(26.387136), np.float32(25.72102), np.float32(25.72102), np.float32(24.503115), np.float32(24.503115)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(27.157719), np.float32(25.989918), np.float32(27.236528), np.float32(25.547302), np.float32(27.102972), np.float32(27.572298), np.float32(28.162226), np.float32(31.59769), np.float32(26.57836), np.float32(26.335152), np.float32(23.338228), np.float32(23.996622), np.float32(25.623482), np.float32(25.623482), np.float32(25.444021), np.float32(25.444021)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(26.184977), np.float32(26.553284), np.float32(25.886341), np.float32(27.096277), np.float32(27.84576), np.float32(31.99477), np.float32(26.217735), np.float32(28.855947), np.float32(25.406982), np.float32(25.196604), np.float32(25.530724), np.float32(24.656641), np.float32(25.601814), np.float32(25.601814), np.float32(28.617804), np.float32(28.617804)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(24.62824), np.float32(24.884476), np.float32(24.25057), np.float32(25.60627), np.float32(26.790016), np.float32(24.729107), np.float32(22.376156), np.float32(24.012556), np.float32(24.61941), np.float32(24.149364), np.float32(24.961542), np.float32(25.832808), np.float32(25.243555), np.float32(25.243555), np.float32(23.170338), np.float32(23.170338)]"
