,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(18.282162), np.float32(18.006401), np.float32(17.582243), np.float32(20.008532), np.float32(19.543356), np.float32(22.188417), np.float32(19.820957), np.float32(21.71972), np.float32(17.708927), np.float32(18.040426), np.float32(19.371487), np.float32(17.58553), np.float32(18.243715), np.float32(18.243715), np.float32(19.149616), np.float32(19.149616)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(25.88742), np.float32(26.855925), np.float32(27.463026), np.float32(26.957014), np.float32(28.667503), np.float32(31.32389), np.float32(27.83424), np.float32(25.426176), np.float32(27.075624), np.float32(26.769566), np.float32(24.180822), np.float32(26.466122), np.float32(26.687819), np.float32(26.687819), np.float32(29.492775), np.float32(29.492775)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(25.775751), np.float32(26.38233), np.float32(26.81195), np.float32(26.15881), np.float32(28.12638), np.float32(27.997486), np.float32(27.631355), np.float32(25.499039), np.float32(27.885063), np.float32(27.88409), np.float32(25.563818), np.float32(27.928263), np.float32(27.776611), np.float32(27.776611), np.float32(27.075714), np.float32(27.075714)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(18.075415), np.float32(17.903143), np.float32(18.055056), np.float32(19.7618), np.float32(19.691853), np.float32(23.263382), np.float32(20.08399), np.float32(22.657932), np.float32(17.743092), np.float32(18.880367), np.float32(20.210014), np.float32(18.575811), np.float32(20.2374), np.float32(20.2374), np.float32(19.855528), np.float32(19.855528)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.065235), np.float32(14.326431), np.float32(14.142234), np.float32(14.452019), np.float32(15.035315), np.float32(14.714512), np.float32(14.361834), np.float32(16.251537), np.float32(14.418291), np.float32(14.267717), np.float32(16.390163), np.float32(16.349466), np.float32(17.232748), np.float32(17.232748), np.float32(14.632931), np.float32(14.632931)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(22.452549), np.float32(21.995121), np.float32(21.370806), np.float32(20.468067), np.float32(21.706919), np.float32(22.191555), np.float32(22.572598), np.float32(21.679192), np.float32(23.154247), np.float32(22.333088), np.float32(23.741528), np.float32(23.141077), np.float32(22.847412), np.float32(22.847412), np.float32(22.385754), np.float32(22.385754)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(26.988241), np.float32(27.2176), np.float32(27.718067), np.float32(26.439308), np.float32(27.98005), np.float32(27.629358), np.float32(29.493967), np.float32(26.659006), np.float32(29.0788), np.float32(28.672712), np.float32(25.288563), np.float32(27.604057), np.float32(26.96097), np.float32(26.96097), np.float32(27.115715), np.float32(27.115715)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(24.471432), np.float32(24.830328), np.float32(24.876865), np.float32(27.122803), np.float32(27.810896), np.float32(31.992495), np.float32(26.615955), np.float32(26.76157), np.float32(24.680958), np.float32(25.601625), np.float32(24.963528), np.float32(24.591434), np.float32(25.37775), np.float32(25.37775), np.float32(27.722168), np.float32(27.722168)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(19.035664), np.float32(19.04852), np.float32(19.213333), np.float32(18.818243), np.float32(19.381752), np.float32(22.906769), np.float32(20.142076), np.float32(20.850725), np.float32(18.76781), np.float32(18.623228), np.float32(19.7687), np.float32(19.060402), np.float32(20.269415), np.float32(20.269415), np.float32(21.440447), np.float32(21.440447)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(17.508142), np.float32(18.221354), np.float32(17.094065), np.float32(19.706997), np.float32(20.393023), np.float32(19.141842), np.float32(16.98894), np.float32(17.143517), np.float32(17.962818), np.float32(17.03335), np.float32(18.566393), np.float32(19.10167), np.float32(18.346733), np.float32(18.346733), np.float32(18.37711), np.float32(18.37711)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(20.760777), np.float32(20.52841), np.float32(20.744175), np.float32(19.638826), np.float32(19.992048), np.float32(21.171501), np.float32(22.735153), np.float32(22.267061), np.float32(21.285147), np.float32(20.691206), np.float32(19.868708), np.float32(20.006548), np.float32(20.229458), np.float32(20.229458), np.float32(20.822184), np.float32(20.822184)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(19.205034), np.float32(19.82669), np.float32(21.383057), np.float32(21.079784), np.float32(21.625954), np.float32(23.918713), np.float32(23.091423), np.float32(24.537169), np.float32(20.297022), np.float32(21.87577), np.float32(19.46976), np.float32(20.936436), np.float32(23.059284), np.float32(23.059284), np.float32(21.338444), np.float32(21.338444)]"
12,"[np.float32(17.699177), np.float32(-4.4179387), np.float32(-54.6607), np.float32(116.34819), np.float32(122.69955), np.float32(-36.820007)]","[np.float32(23.608547), np.float32(24.371576), np.float32(25.234064), np.float32(24.068256), np.float32(25.759596), np.float32(28.226107), np.float32(25.700712), np.float32(24.505354), np.float32(24.886583), np.float32(25.103941), np.float32(23.29416), np.float32(25.16535), np.float32(26.154318), np.float32(26.154318), np.float32(26.791822), np.float32(26.791822)]"
13,"[np.float32(117.15115), np.float32(160.9598), np.float32(63.092472), np.float32(-1.6219363), np.float32(30.921383), np.float32(53.36891)]","[np.float32(14.390318), np.float32(14.932665), np.float32(15.662504), np.float32(13.941926), np.float32(14.2088375), np.float32(13.976674), np.float32(16.23558), np.float32(16.78516), np.float32(15.033773), np.float32(14.229841), np.float32(13.350643), np.float32(14.94628), np.float32(15.84564), np.float32(15.84564), np.float32(14.961632), np.float32(14.961632)]"
14,"[np.float32(106.39641), np.float32(-24.296926), np.float32(74.43155), np.float32(85.36729), np.float32(-51.77439), np.float32(58.576042)]","[np.float32(16.76416), np.float32(17.293118), np.float32(17.775019), np.float32(16.687616), np.float32(17.613352), np.float32(15.17914), np.float32(18.565546), np.float32(18.855852), np.float32(18.526558), np.float32(18.314808), np.float32(17.192556), np.float32(19.289719), np.float32(19.669907), np.float32(19.669907), np.float32(16.124994), np.float32(16.124994)]"
15,"[np.float32(-14.963366), np.float32(66.49893), np.float32(-26.41377), np.float32(50.42178), np.float32(229.8362), np.float32(11.710625)]","[np.float32(24.67146), np.float32(25.51343), np.float32(26.264444), np.float32(24.640667), np.float32(26.294859), np.float32(29.361748), np.float32(26.488287), np.float32(24.138548), np.float32(25.642334), np.float32(25.01966), np.float32(22.797087), np.float32(24.908495), np.float32(25.425018), np.float32(25.425018), np.float32(28.352486), np.float32(28.352486)]"
16,"[np.float32(-113.308525), np.float32(40.30288), np.float32(-153.23943), np.float32(-46.53276), np.float32(47.741318), np.float32(83.57548)]","[np.float32(19.681208), np.float32(19.74978), np.float32(18.845623), np.float32(21.190779), np.float32(21.448807), np.float32(24.419767), np.float32(19.72924), np.float32(20.385088), np.float32(18.985428), np.float32(18.529032), np.float32(20.738476), np.float32(19.282248), np.float32(19.432974), np.float32(19.432974), np.float32(21.91456), np.float32(21.91456)]"
17,"[np.float32(-143.84988), np.float32(8.984245), np.float32(-1.9494128), np.float32(121.86669), np.float32(-152.77885), np.float32(50.701828)]","[np.float32(16.586645), np.float32(17.303364), np.float32(16.916796), np.float32(21.031174), np.float32(21.109451), np.float32(19.896954), np.float32(18.261555), np.float32(20.544773), np.float32(17.483599), np.float32(18.490566), np.float32(18.69318), np.float32(19.159882), np.float32(19.466291), np.float32(19.466291), np.float32(16.89195), np.float32(16.89195)]"
18,"[np.float32(57.45171), np.float32(-29.746962), np.float32(263.84985), np.float32(-99.319534), np.float32(97.73943), np.float32(-48.281857)]","[np.float32(25.4257), np.float32(25.53113), np.float32(26.76412), np.float32(23.678495), np.float32(24.708797), np.float32(24.277044), np.float32(29.143955), np.float32(26.279778), np.float32(27.525385), np.float32(26.894905), np.float32(22.013264), np.float32(24.887619), np.float32(24.618628), np.float32(24.618628), np.float32(24.7976), np.float32(24.7976)]"
