,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(23.0523), np.float32(23.014301), np.float32(21.949572), np.float32(24.438728), np.float32(25.510695), np.float32(26.942955), np.float32(23.308493), np.float32(26.784645), np.float32(21.597946), np.float32(21.060564), np.float32(22.326134), np.float32(21.495337), np.float32(21.507694), np.float32(21.507694), np.float32(22.875496), np.float32(22.875496)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(29.406717), np.float32(28.574131), np.float32(30.061968), np.float32(25.79896), np.float32(28.531408), np.float32(28.633783), np.float32(28.958855), np.float32(28.798702), np.float32(28.580141), np.float32(26.363176), np.float32(24.282236), np.float32(27.411163), np.float32(27.711653), np.float32(27.711653), np.float32(28.310783), np.float32(28.310783)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(27.052832), np.float32(26.07947), np.float32(26.463974), np.float32(24.036348), np.float32(25.897284), np.float32(26.071783), np.float32(26.224285), np.float32(28.47473), np.float32(27.888071), np.float32(26.371529), np.float32(26.582365), np.float32(27.12588), np.float32(28.033716), np.float32(28.033716), np.float32(27.038923), np.float32(27.038923)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.417488), np.float32(21.46866), np.float32(20.903395), np.float32(23.1828), np.float32(24.096292), np.float32(27.208109), np.float32(22.952518), np.float32(27.027311), np.float32(20.768812), np.float32(20.15647), np.float32(21.494146), np.float32(20.371353), np.float32(21.934717), np.float32(21.934717), np.float32(23.180016), np.float32(23.180016)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(13.016403), np.float32(13.310881), np.float32(12.93784), np.float32(16.536867), np.float32(16.052628), np.float32(17.389542), np.float32(14.603111), np.float32(18.913013), np.float32(15.542826), np.float32(14.720987), np.float32(15.933687), np.float32(14.196646), np.float32(16.064596), np.float32(16.064596), np.float32(15.93878), np.float32(15.93878)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(23.84043), np.float32(23.311094), np.float32(22.130787), np.float32(22.285913), np.float32(22.870142), np.float32(25.107733), np.float32(21.823917), np.float32(25.863241), np.float32(23.297855), np.float32(22.69794), np.float32(25.372072), np.float32(23.087248), np.float32(22.964655), np.float32(22.964655), np.float32(24.797062), np.float32(24.797062)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(26.921097), np.float32(26.171), np.float32(26.401005), np.float32(22.725796), np.float32(24.942436), np.float32(23.702244), np.float32(25.370508), np.float32(26.20042), np.float32(27.073948), np.float32(25.05312), np.float32(24.972612), np.float32(27.06451), np.float32(26.415892), np.float32(26.415892), np.float32(25.757483), np.float32(25.757483)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(27.091114), np.float32(26.214739), np.float32(26.594574), np.float32(26.586931), np.float32(28.101616), np.float32(28.705444), np.float32(27.87125), np.float32(31.330448), np.float32(26.105692), np.float32(25.326698), np.float32(23.558733), np.float32(23.648468), np.float32(25.02553), np.float32(25.02553), np.float32(26.257574), np.float32(26.257574)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(25.078976), np.float32(25.329838), np.float32(24.503668), np.float32(26.38942), np.float32(27.236172), np.float32(31.7935), np.float32(25.455069), np.float32(28.154964), np.float32(24.216465), np.float32(23.377813), np.float32(24.45478), np.float32(23.511215), np.float32(24.447945), np.float32(24.447945), np.float32(28.591103), np.float32(28.591105)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(23.592), np.float32(24.311266), np.float32(22.909058), np.float32(26.61464), np.float32(27.476858), np.float32(26.103947), np.float32(21.997177), np.float32(24.472761), np.float32(24.111288), np.float32(23.208036), np.float32(25.013523), np.float32(25.298147), np.float32(24.944544), np.float32(24.944544), np.float32(24.329643), np.float32(24.329643)]"
10,"[np.float32(38.17485), np.float32(4.8834467), np.float32(44.89915), np.float32(-111.630714), np.float32(28.74251), np.float32(-0.33992672)]","[np.float32(20.713823), np.float32(20.868706), np.float32(20.25266), np.float32(18.890814), np.float32(20.174032), np.float32(20.809519), np.float32(20.20186), np.float32(21.426413), np.float32(20.230421), np.float32(18.45008), np.float32(19.047852), np.float32(20.34277), np.float32(19.27729), np.float32(19.27729), np.float32(21.260876), np.float32(21.260876)]"
11,"[np.float32(34.451523), np.float32(92.36457), np.float32(31.314589), np.float32(99.3256), np.float32(-51.633945), np.float32(-172.84677)]","[np.float32(16.942612), np.float32(17.514791), np.float32(18.113024), np.float32(18.088118), np.float32(19.29514), np.float32(20.030888), np.float32(20.59821), np.float32(23.080143), np.float32(18.36831), np.float32(16.606152), np.float32(16.641329), np.float32(18.467442), np.float32(20.972668), np.float32(20.972668), np.float32(18.442562), np.float32(18.442562)]"
12,"[np.float32(17.699177), np.float32(-4.4179387), np.float32(-54.6607), np.float32(116.34819), np.float32(122.69955), np.float32(-36.820007)]","[np.float32(27.113373), np.float32(26.829878), np.float32(27.392912), np.float32(25.98352), np.float32(27.628693), np.float32(29.936327), np.float32(27.824677), np.float32(29.291817), np.float32(27.416185), np.float32(25.687977), np.float32(24.641617), np.float32(25.852518), np.float32(27.44163), np.float32(27.44163), np.float32(29.211353), np.float32(29.211353)]"
13,"[np.float32(117.15115), np.float32(160.9598), np.float32(63.092472), np.float32(-1.6219363), np.float32(30.921383), np.float32(53.36891)]","[np.float32(14.552519), np.float32(15.006504), np.float32(15.768959), np.float32(16.569977), np.float32(16.737154), np.float32(16.991838), np.float32(17.334217), np.float32(16.856989), np.float32(17.517248), np.float32(15.046436), np.float32(12.212787), np.float32(14.417175), np.float32(14.784365), np.float32(14.784365), np.float32(17.401573), np.float32(17.401573)]"
