,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(20.644545), np.float32(20.626986), np.float32(20.583504), np.float32(20.750992), np.float32(20.78179), np.float32(20.924324), np.float32(20.692738), np.float32(20.813337), np.float32(20.491745), np.float32(20.508104), np.float32(20.594326), np.float32(20.560253), np.float32(20.539919), np.float32(20.539919), np.float32(20.589483), np.float32(20.589483)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(20.995832), np.float32(20.981497), np.float32(21.087297), np.float32(20.77985), np.float32(20.929857), np.float32(20.981594), np.float32(21.033308), np.float32(20.91785), np.float32(20.924444), np.float32(20.815563), np.float32(20.671438), np.float32(20.97995), np.float32(20.988176), np.float32(20.988176), np.float32(21.003813), np.float32(21.003813)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(20.818571), np.float32(20.752304), np.float32(20.79128), np.float32(20.585285), np.float32(20.692202), np.float32(20.751656), np.float32(20.797155), np.float32(20.885862), np.float32(20.8148), np.float32(20.768042), np.float32(20.772984), np.float32(20.877884), np.float32(20.906841), np.float32(20.906841), np.float32(20.8521), np.float32(20.8521)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(20.553059), np.float32(20.552336), np.float32(20.53878), np.float32(20.720783), np.float32(20.72085), np.float32(20.987165), np.float32(20.707779), np.float32(20.914206), np.float32(20.442472), np.float32(20.459116), np.float32(20.533085), np.float32(20.467133), np.float32(20.578175), np.float32(20.578175), np.float32(20.648897), np.float32(20.648897)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(19.854216), np.float32(19.868221), np.float32(19.85711), np.float32(20.109062), np.float32(20.049644), np.float32(20.14094), np.float32(19.93156), np.float32(20.21227), np.float32(19.964922), np.float32(19.908283), np.float32(20.092442), np.float32(20.017052), np.float32(20.12337), np.float32(20.12337), np.float32(20.022865), np.float32(20.022865)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(20.666998), np.float32(20.572374), np.float32(20.536472), np.float32(20.496187), np.float32(20.516088), np.float32(20.82764), np.float32(20.556187), np.float32(20.745266), np.float32(20.568405), np.float32(20.561274), np.float32(20.754002), np.float32(20.594687), np.float32(20.5774), np.float32(20.5774), np.float32(20.772875), np.float32(20.772875)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(20.825367), np.float32(20.769333), np.float32(20.785831), np.float32(20.500376), np.float32(20.624561), np.float32(20.590807), np.float32(20.76484), np.float32(20.723686), np.float32(20.784693), np.float32(20.6832), np.float32(20.657463), np.float32(20.83705), np.float32(20.748646), np.float32(20.748646), np.float32(20.745018), np.float32(20.745018)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(20.914948), np.float32(20.870407), np.float32(20.921885), np.float32(20.859682), np.float32(20.941422), np.float32(21.048014), np.float32(21.003923), np.float32(21.11358), np.float32(20.767467), np.float32(20.795319), np.float32(20.679436), np.float32(20.780462), np.float32(20.841848), np.float32(20.841848), np.float32(20.877792), np.float32(20.877792)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(20.725145), np.float32(20.746878), np.float32(20.734217), np.float32(20.831694), np.float32(20.844233), np.float32(21.221294), np.float32(20.813276), np.float32(20.885597), np.float32(20.621243), np.float32(20.575422), np.float32(20.645191), np.float32(20.639114), np.float32(20.717175), np.float32(20.717175), np.float32(20.975216), np.float32(20.975216)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(20.510849), np.float32(20.530119), np.float32(20.476015), np.float32(20.634575), np.float32(20.697584), np.float32(20.608269), np.float32(20.366436), np.float32(20.443033), np.float32(20.502098), np.float32(20.477245), np.float32(20.629559), np.float32(20.72098), np.float32(20.645567), np.float32(20.645567), np.float32(20.540123), np.float32(20.540123)]"
