,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(21.927612), np.float32(21.7165), np.float32(21.434685), np.float32(22.439), np.float32(22.994713), np.float32(23.831253), np.float32(22.189524), np.float32(23.661491), np.float32(21.362474), np.float32(21.205334), np.float32(21.699078), np.float32(21.207094), np.float32(21.302368), np.float32(21.302368), np.float32(21.728895), np.float32(21.728895)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(24.079473), np.float32(24.040627), np.float32(24.6518), np.float32(23.271456), np.float32(24.409904), np.float32(24.481018), np.float32(24.206614), np.float32(24.013502), np.float32(23.919226), np.float32(22.98854), np.float32(22.063122), np.float32(23.686934), np.float32(23.982191), np.float32(23.982191), np.float32(24.009644), np.float32(24.009644)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(22.579079), np.float32(22.37025), np.float32(22.5961), np.float32(22.028408), np.float32(22.727509), np.float32(22.804861), np.float32(22.584093), np.float32(23.595129), np.float32(23.361195), np.float32(22.747189), np.float32(22.816465), np.float32(23.379387), np.float32(23.939383), np.float32(23.939383), np.float32(23.149775), np.float32(23.149775)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.24676), np.float32(21.113255), np.float32(21.032192), np.float32(22.047243), np.float32(22.485214), np.float32(24.138926), np.float32(22.034256), np.float32(23.820578), np.float32(20.949118), np.float32(20.727818), np.float32(21.265919), np.float32(20.63568), np.float32(21.430683), np.float32(21.430683), np.float32(22.00452), np.float32(22.00452)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(16.953934), np.float32(17.067345), np.float32(17.016659), np.float32(18.798326), np.float32(18.566458), np.float32(19.411566), np.float32(17.787195), np.float32(19.752895), np.float32(18.231243), np.float32(17.775236), np.float32(18.349514), np.float32(17.60039), np.float32(18.55898), np.float32(18.55898), np.float32(18.602528), np.float32(18.602528)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(21.38362), np.float32(20.954086), np.float32(20.716314), np.float32(20.61982), np.float32(20.844997), np.float32(21.945734), np.float32(20.743528), np.float32(22.463022), np.float32(21.473078), np.float32(21.238731), np.float32(22.36915), np.float32(21.480349), np.float32(21.503868), np.float32(21.503868), np.float32(21.89648), np.float32(21.89648)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(22.233173), np.float32(22.122826), np.float32(22.250738), np.float32(20.983), np.float32(21.820604), np.float32(21.033934), np.float32(22.013132), np.float32(22.434826), np.float32(22.804401), np.float32(21.956726), np.float32(21.831293), np.float32(23.063301), np.float32(22.930008), np.float32(22.930008), np.float32(22.06506), np.float32(22.06506)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(23.337074), np.float32(23.059278), np.float32(23.283003), np.float32(23.48194), np.float32(24.196924), np.float32(24.576744), np.float32(23.829306), np.float32(25.252138), np.float32(22.958384), np.float32(22.732172), np.float32(21.996395), np.float32(22.193947), np.float32(22.859644), np.float32(22.859644), np.float32(23.159979), np.float32(23.159979)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(22.491598), np.float32(22.524794), np.float32(22.344805), np.float32(23.067299), np.float32(23.485489), np.float32(25.672745), np.float32(22.810795), np.float32(23.864658), np.float32(22.126656), np.float32(21.722557), np.float32(22.214764), np.float32(21.849712), np.float32(22.350792), np.float32(22.350792), np.float32(23.995932), np.float32(23.99593)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(21.509878), np.float32(21.871038), np.float32(21.355185), np.float32(23.31508), np.float32(23.660852), np.float32(23.249725), np.float32(21.07759), np.float32(22.052992), np.float32(22.08112), np.float32(21.718147), np.float32(22.41717), np.float32(22.599592), np.float32(22.575895), np.float32(22.575895), np.float32(22.228489), np.float32(22.228489)]"
