,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(20.155926), np.float32(20.247906), np.float32(20.061218), np.float32(22.719412), np.float32(22.767612), np.float32(24.191624), np.float32(21.817108), np.float32(23.419397), np.float32(20.529554), np.float32(21.106897), np.float32(21.34367), np.float32(20.529406), np.float32(21.008944), np.float32(21.008944), np.float32(21.03008), np.float32(21.03008)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(26.592793), np.float32(26.824324), np.float32(27.797394), np.float32(26.298096), np.float32(28.178652), np.float32(28.33605), np.float32(27.905155), np.float32(25.896841), np.float32(27.544725), np.float32(27.122545), np.float32(24.838554), np.float32(27.280136), np.float32(27.331402), np.float32(27.331402), np.float32(27.0667), np.float32(27.066702)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(23.826456), np.float32(23.428371), np.float32(24.181503), np.float32(22.04239), np.float32(23.625778), np.float32(22.38028), np.float32(24.815376), np.float32(23.987057), np.float32(25.351667), np.float32(24.965008), np.float32(23.358425), np.float32(25.159199), np.float32(25.001123), np.float32(25.001123), np.float32(23.295982), np.float32(23.295982)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(19.511604), np.float32(19.788128), np.float32(20.176365), np.float32(22.01013), np.float32(22.046074), np.float32(24.229614), np.float32(22.094114), np.float32(24.146555), np.float32(20.214247), np.float32(20.949932), np.float32(20.970497), np.float32(20.404121), np.float32(21.975578), np.float32(21.975578), np.float32(21.163374), np.float32(21.163374)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(15.77916), np.float32(16.202065), np.float32(16.227032), np.float32(16.978281), np.float32(17.481157), np.float32(17.686579), np.float32(16.771818), np.float32(18.566597), np.float32(17.452393), np.float32(17.28628), np.float32(18.252247), np.float32(18.49375), np.float32(19.33963), np.float32(19.33963), np.float32(17.922276), np.float32(17.922276)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(22.543602), np.float32(21.37051), np.float32(21.424751), np.float32(20.431913), np.float32(21.478153), np.float32(22.623636), np.float32(22.65284), np.float32(23.39356), np.float32(23.433662), np.float32(23.302977), np.float32(23.784473), np.float32(22.8239), np.float32(22.621284), np.float32(22.621284), np.float32(22.859327), np.float32(22.859327)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(23.93099), np.float32(23.37202), np.float32(23.798733), np.float32(21.71133), np.float32(22.956669), np.float32(21.632221), np.float32(24.804249), np.float32(23.579332), np.float32(25.015543), np.float32(24.336863), np.float32(22.359549), np.float32(23.959423), np.float32(22.991772), np.float32(22.991772), np.float32(22.812119), np.float32(22.812119)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(25.03528), np.float32(25.076712), np.float32(25.748182), np.float32(26.612152), np.float32(27.624146), np.float32(28.698309), np.float32(27.117926), np.float32(27.352283), np.float32(25.601913), np.float32(26.410387), np.float32(24.947039), np.float32(25.570877), np.float32(26.409794), np.float32(26.409794), np.float32(25.433168), np.float32(25.433168)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(22.781307), np.float32(22.985092), np.float32(23.288347), np.float32(24.037304), np.float32(24.829712), np.float32(27.737717), np.float32(24.291973), np.float32(24.71218), np.float32(23.341377), np.float32(23.412987), np.float32(23.33367), np.float32(23.10363), np.float32(24.124147), np.float32(24.124147), np.float32(25.156092), np.float32(25.156092)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(20.252836), np.float32(20.497358), np.float32(20.0632), np.float32(21.604269), np.float32(22.845373), np.float32(21.213451), np.float32(19.76313), np.float32(19.95501), np.float32(21.572329), np.float32(21.406698), np.float32(21.887115), np.float32(22.835775), np.float32(22.120726), np.float32(22.120726), np.float32(20.835142), np.float32(20.835142)]"
