,x_input
0,"[19.67300034, 21.2069931, 21.48709679, 19.67300034, 22.58367538, 19.44789696, 20.95668602, 20.95668602, 22.43070984, 19.67300034, 20.38032913, 20.95668602, 21.2069931, 22.43070984, 23.07037735, 22.14455795]"
1,"[19.44789696, 21.48709679, 20.95668602, 19.11065865, 23.07037735, 20.60757637, 21.48709679, 21.73893356, 23.24478531, 20.02425957, 19.44789696, 21.48709679, 20.95668602, 23.41802979, 23.41802979, 21.99962807]"
2,"[20.02425957, 22.14455795, 20.95668602, 19.11065865, 22.58367538, 20.95668602, 21.48709679, 20.60757637, 22.43070984, 20.02425957, 20.02425957, 20.38032913, 20.95668602, 22.43070984, 22.7505455, 21.2069931]"
3,"[20.95668602, 22.58367538, 22.58367538, 20.60757637, 21.73893356, 21.2069931, 21.73893356, 20.95668602, 22.43070984, 21.48709679, 19.11065865, 20.38032913, 21.2069931, 23.24478531, 21.99962807, 21.73893356]"
4,"[20.60757637, 22.43070984, 22.14455795, 20.60757637, 22.7505455, 20.02425957, 23.41802979, 21.2069931, 23.24478531, 20.60757637, 20.38032913, 20.38032913, 21.73893356, 22.58367538, 22.7505455, 20.02425957]"
5,"[21.2069931, 21.99962807, 21.99962807, 20.95668602, 23.24478531, 18.29987717, 22.7505455, 21.2069931, 22.58367538, 21.48709679, 19.44789696, 21.73893356, 21.48709679, 23.24478531, 21.2069931, 20.38032913]"
6,"[20.60757637, 19.67300034, 21.2069931, 19.11065865, 21.2069931, 18.29987717, 24.67446136, 22.14455795, 23.41802979, 21.73893356, 19.44789696, 22.7505455, 22.58367538, 23.94645309, 21.99962807, 21.48709679]"
7,"[19.11065865, 20.02425957, 18.66036797, 19.11065865, 18.29987717, 18.66036797, 23.07037735, 23.75177002, 23.24478531, 22.7505455, 21.99962807, 24.13765717, 21.73893356, 21.73893356, 22.43070984, 21.2069931]"
8,"[17.92608833, 19.67300034, 19.67300034, 19.11065865, 19.67300034, 18.66036797, 21.2069931, 23.07037735, 24.13765717, 22.43070984, 19.67300034, 23.24478531, 20.38032913, 20.95668602, 22.14455795, 21.2069931]"
9,"[20.38032913, 20.38032913, 20.60757637, 21.2069931, 21.2069931, 19.11065865, 20.02425957, 20.95668602, 22.43070984, 22.43070984, 17.92608833, 22.14455795, 19.44789696, 22.14455795, 22.43070984, 20.95668602]"
10,"[20.95668602, 21.99962807, 21.73893356, 21.2069931, 22.14455795, 18.66036797, 21.48709679, 21.73893356, 22.58367538, 21.99962807, 19.67300034, 21.73893356, 22.14455795, 22.14455795, 21.99962807, 19.44789696]"
11,"[21.2069931, 21.99962807, 21.73893356, 21.2069931, 20.38032913, 17.52749443, 22.58367538, 21.2069931, 22.7505455, 21.2069931, 19.11065865, 23.24478531, 20.38032913, 22.14455795, 21.2069931, 19.67300034]"
12,"[19.44789696, 20.60757637, 20.02425957, 20.95668602, 20.95668602, 16.13122177, 21.73893356, 20.02425957, 20.95668602, 20.60757637, 18.66036797, 22.14455795, 20.38032913, 22.14455795, 20.02425957, 19.44789696]"
