,x_input,x_output
0,"[np.float32(-93.12892), np.float32(52.629677), np.float32(-69.48746), np.float32(-94.964294), np.float32(-71.63202), np.float32(-17.09473)]","[np.float32(22.069273), np.float32(21.572111), np.float32(21.630194), np.float32(22.542944), np.float32(23.037355), np.float32(25.948753), np.float32(23.283352), np.float32(23.410326), np.float32(21.34789), np.float32(21.76026), np.float32(22.314428), np.float32(20.726171), np.float32(21.623186), np.float32(21.623186), np.float32(22.774424), np.float32(22.774424)]"
1,"[np.float32(-95.488434), np.float32(39.179646), np.float32(-14.6407795), np.float32(81.590866), np.float32(215.1599), np.float32(18.193935)]","[np.float32(21.611929), np.float32(21.867025), np.float32(22.741041), np.float32(22.669334), np.float32(24.056778), np.float32(25.545204), np.float32(23.188467), np.float32(21.663404), np.float32(23.31718), np.float32(22.67836), np.float32(20.248892), np.float32(22.552412), np.float32(22.62628), np.float32(22.62628), np.float32(25.481367), np.float32(25.481367)]"
2,"[np.float32(-15.257048), np.float32(-157.12384), np.float32(11.753116), np.float32(134.82642), np.float32(82.44817), np.float32(27.18175)]","[np.float32(23.568363), np.float32(23.732803), np.float32(24.415771), np.float32(23.524313), np.float32(25.45253), np.float32(24.395756), np.float32(24.909147), np.float32(22.51734), np.float32(25.872765), np.float32(25.159729), np.float32(22.84335), np.float32(25.460934), np.float32(25.010628), np.float32(25.010628), np.float32(24.970573), np.float32(24.970573)]"
3,"[np.float32(-31.565248), np.float32(35.18371), np.float32(-135.8277), np.float32(-9.555283), np.float32(-106.257545), np.float32(-103.14623)]","[np.float32(21.55882), np.float32(20.976906), np.float32(21.44323), np.float32(21.631176), np.float32(22.456799), np.float32(25.743088), np.float32(22.799261), np.float32(23.484116), np.float32(20.952116), np.float32(22.008549), np.float32(23.016058), np.float32(21.485073), np.float32(23.030802), np.float32(23.030802), np.float32(22.575218), np.float32(22.575218)]"
4,"[np.float32(82.54654), np.float32(9.803964), np.float32(-113.39448), np.float32(79.01584), np.float32(-67.70516), np.float32(83.98162)]","[np.float32(14.607899), np.float32(14.509834), np.float32(14.03342), np.float32(15.344498), np.float32(16.17008), np.float32(14.8307495), np.float32(14.206133), np.float32(15.912975), np.float32(14.9730835), np.float32(14.845837), np.float32(17.115149), np.float32(16.522545), np.float32(17.235844), np.float32(17.235844), np.float32(14.494633), np.float32(14.494633)]"
5,"[np.float32(68.60486), np.float32(-193.60408), np.float32(-101.4381), np.float32(-38.215546), np.float32(20.783968), np.float32(75.2776)]","[np.float32(22.242004), np.float32(21.732368), np.float32(21.570578), np.float32(19.749352), np.float32(21.491608), np.float32(20.453613), np.float32(21.542866), np.float32(19.396086), np.float32(22.527704), np.float32(21.127893), np.float32(22.037163), np.float32(22.333689), np.float32(21.912016), np.float32(21.912016), np.float32(21.239824), np.float32(21.239824)]"
6,"[np.float32(-21.07872), np.float32(-136.30579), np.float32(130.3457), np.float32(-0.05557394), np.float32(94.929474), np.float32(12.620388)]","[np.float32(25.70049), np.float32(25.651937), np.float32(26.6092), np.float32(24.8737), np.float32(26.48897), np.float32(25.780912), np.float32(28.032656), np.float32(24.843643), np.float32(27.914204), np.float32(27.033007), np.float32(23.208431), np.float32(25.836838), np.float32(25.216963), np.float32(25.216963), np.float32(26.19714), np.float32(26.19714)]"
7,"[np.float32(-181.1539), np.float32(10.953061), np.float32(-101.86755), np.float32(20.934015), np.float32(53.178104), np.float32(-71.033066)]","[np.float32(25.465342), np.float32(25.271511), np.float32(26.023893), np.float32(26.271442), np.float32(27.550581), np.float32(31.55587), np.float32(27.219532), np.float32(25.84652), np.float32(25.74541), np.float32(26.17298), np.float32(25.008978), np.float32(25.180225), np.float32(25.867035), np.float32(25.867035), np.float32(28.64367), np.float32(28.643671)]"
8,"[np.float32(35.70965), np.float32(58.80703), np.float32(-132.51224), np.float32(-25.906748), np.float32(53.15035), np.float32(-13.549049)]","[np.float32(18.208622), np.float32(17.751604), np.float32(18.060188), np.float32(17.57004), np.float32(18.480448), np.float32(20.304607), np.float32(18.434923), np.float32(18.888046), np.float32(17.913898), np.float32(17.738045), np.float32(18.900116), np.float32(18.322102), np.float32(19.372812), np.float32(19.372812), np.float32(19.521887), np.float32(19.521887)]"
9,"[np.float32(-105.361824), np.float32(3.6224217), np.float32(-65.43418), np.float32(67.151344), np.float32(20.917496), np.float32(212.962)]","[np.float32(17.193758), np.float32(17.569042), np.float32(16.564676), np.float32(19.711634), np.float32(20.50817), np.float32(19.198963), np.float32(16.723888), np.float32(16.971033), np.float32(17.938503), np.float32(16.971375), np.float32(18.164467), np.float32(18.31626), np.float32(17.816591), np.float32(17.816591), np.float32(18.476757), np.float32(18.476757)]"
